sample	gene_ref	gene	gene_length	covered_bases	percent_covered	mean_depth	max_depth
BLAN-2-1-Rh	fixA.fa	fixA	1051	0	0.0000	0.0000	0
BLAN-2-1-Rh	nopE.fa	nopE	1451	0	0.0000	0.0000	0
BLAN-2-1-Rh	noeJ.fa	noeJ	915	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodQ.fa	nodQ	1922	30	1.5609	0.0307	2
BLAN-2-1-Rh	nifU.fa	nifU	540	0	0.0000	0.0000	0
BLAN-2-1-Rh	nopL.fa	nopL	1110	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifE.fa	nifE	1714	436	25.4376	1.4685	19
BLAN-2-1-Rh	nodX.fa	nodX	1121	1095	97.6806	6.1936	14
BLAN-2-1-Rh	fdxB.fa	fdxB	361	0	0.0000	0.0000	0
BLAN-2-1-Rh	nolX.fa	nolX	1791	0	0.0000	0.0000	0
BLAN-2-1-Rh	noeA.fa	noeA	1431	1431	100.0000	580.3920	6472
BLAN-2-1-Rh	nodH.fa	nodH	802	0	0.0000	0.0000	0
BLAN-2-1-Rh	rhcR.fa	rhcR	669	0	0.0000	0.0000	0
BLAN-2-1-Ro	noeI.fa	noeI	756	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodP.fa	nodP	906	162	17.8808	5.1192	52
BLAN-2-1-Ro	nifT.fa	nifT	216	109	50.4630	1.0093	2
BLAN-2-1-Ro	fixX.fa	fixX	297	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifD.fa	nifD	1532	1291	84.2689	656.8570	1901
BLAN-2-1-Ro	nolG.fa	nolG	3198	3198	100.0000	824.0841	2605
BLAN-2-1-Ro	rhcQ.fa	rhcQ	1195	0	0.0000	0.0000	0
BLAN-2-1-Ro	fixP.fa	fixP	876	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifS.fa	nifS	1292	0	0.0000	0.0000	0
BLAN-2-1-Ro	nolF.fa	nolF	1110	1104	99.4595	997.6586	1931
BLAN-2-1-Ro	nifK.fa	nifK	1542	1416	91.8288	461.4507	1541
BLAN-2-1-Ro	fixO.fa	fixO	745	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifB.fa	nifB	1527	926	60.6418	287.7924	1391
BLAN-2-1-Ro	rpoN.fa	rpoN	1533	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifZ.fa	nifZ	759	22	2.8986	0.0580	2
BLAN-2-1-Ro	nodF.fa	nodF	333	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifJ.fa	nifJ	3528	818	23.1859	2.4306	69
BLAN-2-1-Ro	fixN.fa	fixN	1697	0	0.0000	0.0000	0
BLAN-2-1-Ro	fdxN.fa	fdxN	210	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifA.fa	nifA	1753	80	4.5636	0.7941	46
BLAN-2-1-Ro	nodU.fa	nodU	1823	328	17.9923	4.2726	83
BLAN-2-1-Ro	nolU.fa	nolU	645	343	53.1783	28.1240	110
BLAN-2-1-Ro	nifY.fa	nifY	663	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodE.fa	nodE	1232	0	0.0000	0.0000	0
BLAN-2-1-Ro	noeE.fa	noeE	1260	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodL.fa	nodL	612	553	90.3595	710.4020	1208
BLAN-2-1-Ro	nolL.fa	nolL	1191	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifQ.fa	nifQ	813	227	27.9213	11.2964	64
BLAN-2-1-Ro	fixU.fa	fixU	258	191	74.0310	165.7597	1258
BLAN-2-1-Ro	nodT.fa	nodT	1521	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifX.fa	nifX	519	399	76.8786	355.1329	1022
BLAN-2-1-Ro	nodD.fa	nodD	1011	576	56.9733	600.7864	5517
BLAN-2-1-Ro	nfeD.fa	nfeD	1454	31	2.1320	1.3212	64
BLAN-2-1-Ro	nifH.fa	nifH	997	830	83.2497	658.4985	2433
BLAN-2-1-Ro	rhcN.fa	rhcN	1360	0	0.0000	0.0000	0
BLAN-2-1-Ro	fixL.fa	fixL	2018	0	0.0000	0.0000	0
BLAN-2-1-Ro	nopP.fa	nopP	834	51	6.1151	0.0612	1
BLAN-2-1-Ro	nodS.fa	nodS	738	0	0.0000	0.0000	0
BLAN-2-1-Ro	nifW.fa	nifW	421	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodC.fa	nodC	1409	969	68.7722	298.9077	1512
BLAN-2-1-Ro	rhcT.fa	rhcT	832	0	0.0000	0.0000	0
BLAN-2-1-Ro	fixC.fa	fixC	1318	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodB.fa	nodB	714	503	70.4482	425.9202	1955
BLAN-2-1-Ro	nolB.fa	nolB	597	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodZ.fa	nodZ	993	19	1.9134	0.0383	2
BLAN-2-1-Ro	fixK.fa	fixK	812	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodJ.fa	nodJ	921	331	35.9392	26.3855	217
BLAN-2-1-Ro	nifN.fa	nifN	1367	48	3.5113	1.1646	52
BLAN-2-1-Ro	fixB.fa	fixB	1143	0	0.0000	0.0000	0
BLAN-2-1-Ro	nodA.fa	nodA	699	128	18.3119	14.1674	122
BLAN-2-1-Ro	nifV.fa	nifV	1225	0	0.0000	0.0000	0
BLAN-2-1-Ro	nopM.fa	nopM	1746	0	0.0000	0.0000	0
