LABELS
SEPARATOR TAB
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	BLAN-4-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.9% id | 89.0% qcov
LENO-6-1-No|nifH|consensus50|strict_single_dominant	LENO-6-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._RIZ17 | 85.6% id | 92.2% qcov
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	CLBJ-30-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.2% id | 72.4% qcov
CLBJ-40-1-No|nifH|consensus50|strict_single_dominant	CLBJ-40-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.3% id | 64.2% qcov
JERC-STBI-63-1-No|nifH|consensus50|strict_single_dominant	JERC-STBI-63-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 97.2% id | 43.6% qcov
CLBJ-46-1-No|nifH|consensus50|strict_single_dominant	CLBJ-46-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 96.9% id | 44.3% qcov
DELA-21-1-No|nifH|consensus50|strict_single_dominant	DELA-21-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.4% id | 72.9% qcov
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 88.7% id | 94.4% qcov
CLBJ-33-1-No|nifH|consensus50|strict_single_dominant	CLBJ-33-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 91.2% id | 65.6% qcov
LENO-8-3-No|nifH|consensus50|strict_single_dominant	LENO-8-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 89.9% id | 72.5% qcov
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	CLBJ-39-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.9% id | 91.6% qcov
CLBJ-20-1-Ro|nifH|consensus50|strict_single_dominant	CLBJ-20-1-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.8% id | 70.4% qcov
DSNY-101-1-No|nifH|consensus50|strict_single_dominant	DSNY-101-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PMVTL-01 | 85.6% id | 93.9% qcov
SERC-7-1-No|nifH|consensus50|strict_single_dominant	SERC-7-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_diazoefficiens | 98.4% id | 41.7% qcov
DSNY-10-3-No|nifH|consensus50|strict_single_dominant	DSNY-10-3-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 89.2% id | 91.4% qcov
LAJA-15-1-No|nifH|consensus50|strict_single_dominant	LAJA-15-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-02 | 87.6% id | 94.6% qcov
JERC-88-1-No|nifH|consensus50|strict_single_dominant	JERC-88-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 95.9% id | 41.4% qcov
DSNY-89-No|nifH|consensus50|strict_single_dominant	DSNY-89-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 97.6% id | 41.7% qcov
DELA-28-No|nifH|consensus50|strict_single_dominant	DELA-28-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 86.5% id | 92.8% qcov
JERC-203-1-No|nifH|consensus50|strict_single_dominant	JERC-203-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.1% id | 92.3% qcov
KONA-1-1-No|nifH|consensus50|strict_single_dominant	KONA-1-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.5% id | 91.8% qcov
SERC-4-1-No|nifH|consensus50|strict_single_dominant	SERC-4-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 87.3% id | 74.1% qcov
DSNY-31-1-No|nifH|consensus50|strict_single_dominant	DSNY-31-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 87.5% id | 92.7% qcov
JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 87.0% id | 91.4% qcov
JERC-96-2-Ro|nifH|consensus50|strict_single_dominant	JERC-96-2-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 94.9% id | 41.7% qcov
DELA-7-3-No|nifH|consensus50|strict_single_dominant	DELA-7-3-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 86.4% id | 91.9% qcov
ORNL-25-1-No|nifH|consensus50|strict_single_dominant	ORNL-25-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-02 | 86.5% id | 73.7% qcov
ORNL-25-1-Rh|nifH|consensus50|strict_single_dominant	ORNL-25-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 86.9% id | 77.1% qcov
JERC-98-3-No|nifH|consensus50|strict_single_dominant	JERC-98-3-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._RIZ17 | 86.0% id | 91.4% qcov
ORNL-13-2-No|nifH|consensus50|strict_single_dominant	ORNL-13-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 86.1% id | 91.7% qcov
DELA-33-1-No|nifH|consensus50|strict_single_dominant	DELA-33-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 87.4% id | 65.4% qcov
N39-2-D-No|nifH|consensus50|strict_single_dominant	N39-2-D-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 83.7% id | 94.1% qcov
HARV-4-1-Rh|nifH|consensus50|strict_single_dominant	HARV-4-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 93.0% id | 41.7% qcov
SCBI-11-1-Rh|nifH|consensus50|strict_single_dominant	SCBI-11-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 91.3% id | 52.2% qcov
DELA-8-2-No|nifH|consensus50|strict_single_dominant	DELA-8-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 94.0% id | 41.6% qcov
DSNY-54-1-No|nifH|consensus50|strict_single_dominant	DSNY-54-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 87.2% id | 77.9% qcov
GRSM-3-No|nifH|consensus50|strict_single_dominant	GRSM-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 94.0% id | 41.6% qcov
GRSM-1-No|nifH|consensus50|strict_single_dominant	GRSM-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 86.4% id | 77.1% qcov
SCBI-4-1-No|nifH|consensus50|strict_single_dominant	SCBI-4-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 88.0% id | 57.0% qcov
SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant	SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._LjNodule214 | 85.8% id | 92.7% qcov
HARV-3-1-No|nifH|consensus50|strict_single_dominant	HARV-3-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 94.0% id | 41.6% qcov
SCBI-6-1-No|nifH|consensus50|strict_single_dominant	SCBI-6-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 85.8% id | 76.4% qcov
SCBI-11-1-No|nifH|consensus50|strict_single_dominant	SCBI-11-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 86.0% id | 77.4% qcov
KONZ-2-1-No|nifH|consensus50|strict_single_dominant	KONZ-2-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 87.4% id | 91.5% qcov
HARV-4-1-No|nifH|consensus50|strict_single_dominant	HARV-4-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.3% id | 88.9% qcov
LENO-10-2-No|nifH|consensus50|strict_single_dominant	LENO-10-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 86.6% id | 89.0% qcov
LENO-4-3-No|nifH|consensus50|strict_single_dominant	LENO-4-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 84.4% id | 93.9% qcov
LENO-1-1-No|nifH|consensus50|strict_single_dominant	LENO-1-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 88.8% id | 70.9% qcov
LENO-13-2-No|nifH|consensus50|strict_single_dominant	LENO-13-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 86.4% id | 92.2% qcov
SCBI-4-1-Ro|nifH|consensus50|strict_single_dominant	SCBI-4-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.1% id | 52.4% qcov
SCBI-9-2-No|nifH|consensus50|strict_single_dominant	SCBI-9-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 94.0% id | 41.7% qcov
ORNL-16-No|nifH|consensus50|strict_single_dominant	ORNL-16-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 88.1% id | 67.9% qcov
UKFS-52-1-No|nifH|consensus50|strict_single_dominant	UKFS-52-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 93.6% id | 44.1% qcov
GRSM-3-Rh|nifH|consensus50|strict_single_dominant	GRSM-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 94.0% id | 41.6% qcov
UKFS-5-1-No|nifH|consensus50|strict_single_dominant	UKFS-5-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 84.2% id | 72.2% qcov
UKFS-6-1-No|nifH|consensus50|strict_single_dominant	UKFS-6-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 93.6% id | 44.3% qcov
BONA-5-Rh|nifH|consensus50|strict_single_dominant	BONA-5-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.6% id | 41.2% qcov
BONA-9-No|nifH|consensus50|strict_single_dominant	BONA-9-No|nifH|consensus50|strict_single_dominant | closest: Ensifer_sp | 88.5% id | 93.7% qcov
TALL-86-1-No|nifH|consensus50|strict_single_dominant	TALL-86-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 84.4% id | 72.2% qcov
DSNY-25-1-No|nifH|consensus50|strict_single_dominant	DSNY-25-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 91.0% id | 44.0% qcov
DEJU-2-Rh|nifH|consensus50|strict_single_dominant	DEJU-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.5% id | 50.6% qcov
JERC-187-1-No|nifH|consensus50|strict_single_dominant	JERC-187-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.7% id | 43.8% qcov
JERC-48-3-No|nifH|consensus50|strict_single_dominant	JERC-48-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 85.3% id | 93.9% qcov
OSBS-88-1-No|nifH|consensus50|strict_single_dominant	OSBS-88-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 85.7% id | 63.3% qcov
TALL-38-3-No|nifH|consensus50|strict_single_dominant	TALL-38-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.7% id | 41.4% qcov
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 84.9% id | 93.8% qcov
JERC-127-2-No|nifH|consensus50|strict_single_dominant	JERC-127-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.6% id | 92.2% qcov
TALL-67-1-No|nifH|consensus50|strict_single_dominant	TALL-67-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.5% id | 55.7% qcov
TALL-26-3-No|nifH|consensus50|strict_single_dominant	TALL-26-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 82.8% id | 72.1% qcov
TALL-58-1-No|nifH|consensus50|strict_single_dominant	TALL-58-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.5% id | 41.6% qcov
JERC-170-No|nifH|consensus50|strict_single_dominant	JERC-170-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 86.0% id | 70.5% qcov
TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 81.4% id | 94.7% qcov
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.0% id | 72.1% qcov
TALL-63-1-No|nifH|consensus50|strict_single_dominant	TALL-63-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 82.3% id | 72.8% qcov
DSNY-24-1-No|nifH|consensus50|strict_single_dominant	DSNY-24-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 85.9% id | 57.5% qcov
TALL-39-2-No|nifH|consensus50|strict_single_dominant	TALL-39-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 84.5% id | 72.3% qcov
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	CLBJ-16-2-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 85.6% id | 91.8% qcov
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	OSBS-14-3-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 85.4% id | 92.2% qcov
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.8% id | 78.2% qcov
OSBS-18-5-No|nifH|consensus50|strict_single_dominant	OSBS-18-5-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 87.5% id | 73.9% qcov
DELA-4-1-No|nifH|consensus50|strict_single_dominant	DELA-4-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 82.6% id | 93.7% qcov
TALL-62-1-No|nifH|consensus50|strict_single_dominant	TALL-62-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.9% id | 43.3% qcov
TALL-41-3-No|nifH|consensus50|strict_single_dominant	TALL-41-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 91.6% id | 43.3% qcov
TALL-4-1-No|nifH|consensus50|strict_single_dominant	TALL-4-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.9% id | 43.3% qcov
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	CLBJ-43-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 85.9% id | 94.6% qcov
TALL-51-3-Ro|nifH|consensus50|strict_single_dominant	TALL-51-3-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 92.8% id | 40.6% qcov
TALL-57-2-Ro|nifH|consensus50|strict_single_dominant	TALL-57-2-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.7% id | 69.0% qcov
TALL-57-2-No|nifH|consensus50|strict_single_dominant	TALL-57-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 85.7% id | 60.2% qcov
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	OSBS-70-3-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 84.7% id | 92.2% qcov
JERC-173-1-No|nifH|consensus50|strict_single_dominant	JERC-173-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 82.4% id | 72.5% qcov
TALL-53-3-Rh|nifH|consensus50|strict_single_dominant	TALL-53-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.7% id | 41.2% qcov
DSNY-26-1-No|nifH|consensus50|strict_single_dominant	DSNY-26-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 86.9% id | 51.9% qcov
JERC-164-Rh|nifH|consensus50|strict_single_dominant	JERC-164-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 87.0% id | 52.2% qcov
JERC-CHNI-86-4-No|nifH|consensus50|strict_single_dominant	JERC-CHNI-86-4-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 84.5% id | 73.6% qcov
DSNY-49-2-No|nifH|consensus50|strict_single_dominant	DSNY-49-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 84.2% id | 72.1% qcov
JERC-92-4-No|nifH|consensus50|strict_single_dominant	JERC-92-4-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.5% id | 41.6% qcov
TALL-89-1-No|nifH|consensus50|strict_single_dominant	TALL-89-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.2% id | 43.6% qcov
JERC-163-No|nifH|consensus50|strict_single_dominant	JERC-163-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.5% id | 41.6% qcov
JERC-41-2-No|nifH|consensus50|strict_single_dominant	JERC-41-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 84.7% id | 57.6% qcov
JERC-107-1-No|nifH|consensus50|strict_single_dominant	JERC-107-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.8% id | 41.6% qcov
TALL-49-1-No|nifH|consensus50|strict_single_dominant	TALL-49-1-No|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 81.7% id | 79.5% qcov
TALL-51-3-No|nifH|consensus50|strict_single_dominant	TALL-51-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.7% id | 62.9% qcov
TALL-54-1-No|nifH|consensus50|strict_single_dominant	TALL-54-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.2% id | 41.7% qcov
JERC-35-1-No|nifH|consensus50|strict_single_dominant	JERC-35-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 85.9% id | 57.1% qcov
TALL-16-No|nifH|consensus50|strict_single_dominant	TALL-16-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 86.1% id | 70.8% qcov
JERC-195-2-No|nifH|consensus50|strict_single_dominant	JERC-195-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 82.9% id | 72.1% qcov
TALL-18-1-Ro|nifH|consensus50|strict_single_dominant	TALL-18-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 85.0% id | 71.6% qcov
JERC-39-5-No|nifH|consensus50|strict_single_dominant	JERC-39-5-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 86.1% id | 73.0% qcov
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	CLBJ-20-1-No|nifH|consensus50|strict_single_dominant | closest: Neorhizobium_alkalisoli | 89.6% id | 99.7% qcov
JERC-43-1-No|nifH|consensus50|strict_single_dominant	JERC-43-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_sp._YTUHZ044 | 85.7% id | 92.6% qcov
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 82.9% id | 92.3% qcov
OSBS-LEHI-62-5-No|nifH|consensus50|strict_single_dominant	OSBS-LEHI-62-5-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 85.9% id | 63.2% qcov
JERC-45-5-No|nifH|consensus50|strict_single_dominant	JERC-45-5-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 86.5% id | 68.7% qcov
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 86.4% id | 92.2% qcov
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 86.2% id | 91.8% qcov
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	CLBJ-42-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.3% id | 91.8% qcov
JERC-109-1-No|nifH|consensus50|strict_single_dominant	JERC-109-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.0% id | 40.8% qcov
JERC-201-1-No|nifH|consensus50|strict_single_dominant	JERC-201-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.5% id | 80.1% qcov
OSBS-75-2-No|nifH|consensus50|strict_single_dominant	OSBS-75-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.7% id | 41.4% qcov
JERC-99-1-No|nifH|consensus50|strict_single_dominant	JERC-99-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.4% id | 41.4% qcov
JERC-128-2-No|nifH|consensus50|strict_single_dominant	JERC-128-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 87.9% id | 52.3% qcov
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	DSNY-66-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.6% id | 92.2% qcov
JERC-110-4-No|nifH|consensus50|strict_single_dominant	JERC-110-4-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._Pa8 | 83.1% id | 78.9% qcov
JERC-180-5-Ro|nifH|consensus50|strict_single_dominant	JERC-180-5-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.9% id | 41.8% qcov
TALL-66-2-No|nifH|consensus50|strict_single_dominant	TALL-66-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.5% id | 92.5% qcov
TALL-80-1-No|nifH|consensus50|strict_single_dominant	TALL-80-1-No|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 86.9% id | 64.3% qcov
TALL-79-1-No|nifH|consensus50|strict_single_dominant	TALL-79-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 90.2% id | 41.7% qcov
TALL-76-3-No|nifH|consensus50|strict_single_dominant	TALL-76-3-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.8% id | 89.8% qcov
TALL-78-2-No|nifH|consensus50|strict_single_dominant	TALL-78-2-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 88.2% id | 92.2% qcov
JERC-23-1-No|nifH|consensus50|strict_single_dominant	JERC-23-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.7% id | 78.4% qcov
JERC-140-No|nifH|consensus50|strict_single_dominant	JERC-140-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.8% id | 72.7% qcov
TALL-12-2-No|nifH|consensus50|strict_single_dominant	TALL-12-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.4% id | 92.2% qcov
TALL-25-2-No|nifH|consensus50|strict_single_dominant	TALL-25-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.5% id | 92.2% qcov
