DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST percent identity
LENO-10-2-No|nifH|consensus50|strict_single_dominant	86.5580
LENO-4-3-No|nifH|consensus50|strict_single_dominant	84.3560
LENO-1-1-No|nifH|consensus50|strict_single_dominant	88.8010
LENO-13-2-No|nifH|consensus50|strict_single_dominant	86.4080
SCBI-4-1-Ro|nifH|consensus50|strict_single_dominant	90.0860
SCBI-9-2-No|nifH|consensus50|strict_single_dominant	94.0380
ORNL-16-No|nifH|consensus50|strict_single_dominant	88.1380
UKFS-52-1-No|nifH|consensus50|strict_single_dominant	93.5900
GRSM-3-Rh|nifH|consensus50|strict_single_dominant	94.0220
UKFS-5-1-No|nifH|consensus50|strict_single_dominant	84.1940
UKFS-6-1-No|nifH|consensus50|strict_single_dominant	93.6220
BONA-5-Rh|nifH|consensus50|strict_single_dominant	92.6030
BONA-9-No|nifH|consensus50|strict_single_dominant	88.5420
TALL-86-1-No|nifH|consensus50|strict_single_dominant	84.3510
DSNY-25-1-No|nifH|consensus50|strict_single_dominant	91.0030
DEJU-2-Rh|nifH|consensus50|strict_single_dominant	89.5090
JERC-187-1-No|nifH|consensus50|strict_single_dominant	90.7220
JERC-48-3-No|nifH|consensus50|strict_single_dominant	85.3190
OSBS-88-1-No|nifH|consensus50|strict_single_dominant	85.7140
TALL-38-3-No|nifH|consensus50|strict_single_dominant	90.7100
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	84.9400
JERC-127-2-No|nifH|consensus50|strict_single_dominant	87.6210
TALL-67-1-No|nifH|consensus50|strict_single_dominant	87.5500
TALL-26-3-No|nifH|consensus50|strict_single_dominant	82.7590
TALL-58-1-No|nifH|consensus50|strict_single_dominant	90.4890
JERC-170-No|nifH|consensus50|strict_single_dominant	86.0320
TALL-50-1-No|nifH|consensus50|strict_single_dominant	81.4370
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	86.0500
TALL-63-1-No|nifH|consensus50|strict_single_dominant	82.2980
DSNY-24-1-No|nifH|consensus50|strict_single_dominant	85.8550
TALL-39-2-No|nifH|consensus50|strict_single_dominant	84.5310
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	85.6270
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	85.4370
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	85.8370
OSBS-18-5-No|nifH|consensus50|strict_single_dominant	87.4620
DELA-4-1-No|nifH|consensus50|strict_single_dominant	82.6300
TALL-62-1-No|nifH|consensus50|strict_single_dominant	90.8620
TALL-41-3-No|nifH|consensus50|strict_single_dominant	91.6450
TALL-4-1-No|nifH|consensus50|strict_single_dominant	90.8620
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	85.9020
TALL-51-3-Ro|nifH|consensus50|strict_single_dominant	92.7580
TALL-57-2-Ro|nifH|consensus50|strict_single_dominant	88.6550
TALL-57-2-No|nifH|consensus50|strict_single_dominant	85.7410
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	84.7090
JERC-173-1-No|nifH|consensus50|strict_single_dominant	82.3990
TALL-53-3-Rh|nifH|consensus50|strict_single_dominant	90.6850
DSNY-26-1-No|nifH|consensus50|strict_single_dominant	86.9280
JERC-164-Rh|nifH|consensus50|strict_single_dominant	87.0130
JERC-CHNI-86-4-No|nifH|consensus50|strict_single_dominant	84.4850
DSNY-49-2-No|nifH|consensus50|strict_single_dominant	84.1690
JERC-92-4-No|nifH|consensus50|strict_single_dominant	90.4890
TALL-89-1-No|nifH|consensus50|strict_single_dominant	90.1550
JERC-163-No|nifH|consensus50|strict_single_dominant	90.4890
JERC-41-2-No|nifH|consensus50|strict_single_dominant	84.7060
JERC-107-1-No|nifH|consensus50|strict_single_dominant	90.7610
TALL-49-1-No|nifH|consensus50|strict_single_dominant	81.7400
TALL-51-3-No|nifH|consensus50|strict_single_dominant	86.7150
TALL-54-1-No|nifH|consensus50|strict_single_dominant	90.2440
JERC-35-1-No|nifH|consensus50|strict_single_dominant	85.9410
TALL-16-No|nifH|consensus50|strict_single_dominant	86.0980
JERC-195-2-No|nifH|consensus50|strict_single_dominant	82.9150
TALL-18-1-Ro|nifH|consensus50|strict_single_dominant	85.0160
JERC-39-5-No|nifH|consensus50|strict_single_dominant	86.0680
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	89.6270
JERC-43-1-No|nifH|consensus50|strict_single_dominant	85.7490
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	82.9090
OSBS-LEHI-62-5-No|nifH|consensus50|strict_single_dominant	85.8680
JERC-45-5-No|nifH|consensus50|strict_single_dominant	86.4820
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	86.4080
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	86.2360
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	85.2620
JERC-109-1-No|nifH|consensus50|strict_single_dominant	90.0280
JERC-201-1-No|nifH|consensus50|strict_single_dominant	85.4750
OSBS-75-2-No|nifH|consensus50|strict_single_dominant	90.7100
JERC-99-1-No|nifH|consensus50|strict_single_dominant	90.4370
JERC-128-2-No|nifH|consensus50|strict_single_dominant	87.9050
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	87.6210
JERC-110-4-No|nifH|consensus50|strict_single_dominant	83.0730
JERC-180-5-Ro|nifH|consensus50|strict_single_dominant	91.8920
TALL-66-2-No|nifH|consensus50|strict_single_dominant	86.4570
TALL-80-1-No|nifH|consensus50|strict_single_dominant	86.9490
TALL-79-1-No|nifH|consensus50|strict_single_dominant	90.2440
TALL-76-3-No|nifH|consensus50|strict_single_dominant	85.8030
TALL-78-2-No|nifH|consensus50|strict_single_dominant	88.2280
JERC-23-1-No|nifH|consensus50|strict_single_dominant	88.7300
JERC-140-No|nifH|consensus50|strict_single_dominant	85.8460
TALL-12-2-No|nifH|consensus50|strict_single_dominant	86.4080
TALL-25-2-No|nifH|consensus50|strict_single_dominant	86.5290
TALL-75-2-No|nifH|consensus50|strict_single_dominant	87.6530
JERC-141-No|nifH|consensus50|strict_single_dominant	86.4860
LENO-2-1-No|nifH|consensus50|strict_single_dominant	86.1030
TALL-44-1-No|nifH|consensus50|strict_single_dominant	87.9420
JERC-99-3-No|nifH|consensus50|strict_single_dominant	85.8710
JERC-96-2-No|nifH|consensus50|strict_single_dominant	84.8480
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	84.8300
JERC-126-4-No|nifH|consensus50|strict_single_dominant	87.9850
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	87.7430
JERC-180-5-No|nifH|consensus50|strict_single_dominant	86.5510
CLBJ-41-1-No|nifH|consensus50|strict_single_dominant	87.8220
JERC-106-1-No|nifH|consensus50|strict_single_dominant	86.8190
ORNL-7-2-No|nifH|consensus50|strict_single_dominant	87.1610
JERC-148-Ro|nifH|consensus50|strict_single_dominant	87.1570
JERC-150-No|nifH|consensus50|strict_single_dominant	85.4700
OSBS-109-4-No|nifH|consensus50|strict_single_dominant	87.5540
TALL-18-1-No|nifH|consensus50|strict_single_dominant	88.1620
JERC-143-No|nifH|consensus50|strict_single_dominant	87.1240
JERC-135-3-No|nifH|consensus50|strict_single_dominant	84.7580
TALL-20-1-No|nifH|consensus50|strict_single_dominant	83.0920
JERC-CLMA-83-1-No|nifH|consensus50|strict_single_dominant	84.3750
JERC-50-5-No|nifH|consensus50|strict_single_dominant	84.7830
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	84.5310
OSBS-CEVI-50-3-No|nifH|consensus50|strict_single_dominant	90.9590
DEJU-16-1-Ro|nifH|consensus50|strict_single_dominant	91.0810
ORNL-20-1-No|nifH|consensus50|strict_single_dominant	86.0100
DSNY-53-1-No|nifH|consensus50|strict_single_dominant	93.0050
GUAN-4-No|nifH|consensus50|strict_single_dominant	86.0440
GUAN-8-No|nifH|consensus50|strict_single_dominant	86.4570
KONZ-9-2-No|nifH|consensus50|strict_single_dominant	88.1070
LAJA-12-1-No|nifH|consensus50|strict_single_dominant	84.5920
OSBS-59-1-No|nifH|consensus50|strict_single_dominant	90.4150
TALL-37-1-No|nifH|consensus50|strict_single_dominant	93.9760
UKFS-6-3-Rh|nifH|consensus50|strict_single_dominant	94.0410
ORNL-24-Rh|nifH|consensus50|strict_single_dominant	89.1300
BONA-12-1-Ro|nifH|consensus50|strict_single_dominant	85.1060
TALL-90-1-Ro|nifH|consensus50|strict_single_dominant	92.9180
TALL-58-1-Rh|nifH|consensus50|strict_single_dominant	94.8650
DEJU-19-1-Ro|nifH|consensus50|strict_single_dominant	91.3510
TALL-89-1-Ro|nifH|consensus50|strict_single_dominant	87.3220
GUAN-10-Rh|nifH|consensus50|strict_single_dominant	90.4610
GUAN-3-No|nifH|consensus50|strict_single_dominant	85.5250
JERC-176-5-Rh|nifH|consensus50|strict_single_dominant	95.4050
CLBJ-46-1-Rh|nifH|consensus50|strict_single_dominant	88.1030
GUAN-3-Ro|nifH|consensus50|strict_single_dominant	86.1200
LENO-8-3-Rh|nifH|consensus50|strict_single_dominant	91.0110
TALL-75-2-Rh|nifH|consensus50|strict_single_dominant	92.9730
DEJU-4-1-Ro|nifH|consensus50|strict_single_dominant	92.5820
CLBJ-36-1-No|nifH|consensus50|strict_single_dominant	89.0680
DSNY-10-3-Ro|nifH|consensus50|strict_single_dominant	90.4680
DSNY-22-3-Ro|nifH|consensus50|strict_single_dominant	88.6440
DSNY-98-4-Rh|nifH|consensus50|strict_single_dominant	86.5170
LAJA-4-1-Rh|nifH|consensus50|strict_single_dominant	84.1400
TALL-63-1-Rh|nifH|consensus50|strict_single_dominant	89.3290
OSBS-68-1-Ro|nifH|consensus50|strict_single_dominant	94.2560
OSBS-81-1-Ro|nifH|consensus50|strict_single_dominant	91.5400
JERC-126-4-Rh|nifH|consensus50|strict_single_dominant	88.6610
DEJU-9-1-No|nifH|consensus50|strict_single_dominant	90.4000
DSNY-90-Rh|nifH|consensus50|strict_single_dominant	89.2630
JERC-188-1-Ro|nifH|consensus50|strict_single_dominant	95.5500
JERC-203-1-Rh|nifH|consensus50|strict_single_dominant	86.1080
JERC-113-3-Rh|nifH|consensus50|strict_single_dominant	86.7800
WOOD-1-1-Rh|nifH|consensus50|strict_single_dominant	88.4480
DEJU-17-1-Rh|nifH|consensus50|strict_single_dominant	96.0230
OAES-36-3-Ro|nifH|consensus50|strict_single_dominant	88.2260
ORNL-10-1-Rh|nifH|consensus50|strict_single_dominant	91.9620
OSBS-72-1-Rh|nifH|consensus50|strict_single_dominant	94.5600
JERC-155-No|nifH|consensus50|strict_single_dominant	88.4430
JERC-99-1-Rh|nifH|consensus50|strict_single_dominant	86.4470
OSBS-58-1-Rh|nifH|consensus50|strict_single_dominant	85.5920
JERC-188-1-Rh|nifH|consensus50|strict_single_dominant	91.3240
TALL-34-1-Ro|nifH|consensus50|strict_single_dominant	92.3960
HEAL-5-2-Ro|nifH|consensus50|strict_single_dominant	90.0860
JERC-98-3-Rh|nifH|consensus50|strict_single_dominant	95.5960
SCBI-8-2-Rh|nifH|consensus50|strict_single_dominant	88.4500
JERC-99-2-Rh|nifH|consensus50|strict_single_dominant	95.8010
JERC-192-1-Rh|nifH|consensus50|strict_single_dominant	90.2810
OSBS-52-5-Rh|nifH|consensus50|strict_single_dominant	94.8720
OSBS-65-1-Rh|nifH|consensus50|strict_single_dominant	86.9300
TALL-81-1-Ro|nifH|consensus50|strict_single_dominant	96.0960
DSNY-77-3-Rh|nifH|consensus50|strict_single_dominant	94.5170
DSNY-78-1-Rh|nifH|consensus50|strict_single_dominant	95.6280
JERC-171-Rh|nifH|consensus50|strict_single_dominant	84.5430
DEJU-10-1-Rh|nifH|consensus50|strict_single_dominant	95.4910
DSNY-30-1-Rh|nifH|consensus50|strict_single_dominant	88.5040
OSBS-106-1-No|nifH|consensus50|strict_single_dominant	95.8550
OSBS-89-1-Ro|nifH|consensus50|strict_single_dominant	88.3460
TALL-35-1-Rh|nifH|consensus50|strict_single_dominant	95.6760
DSNY-71-1-Rh|nifH|consensus50|strict_single_dominant	91.1640
DSNY-44-1-Rh|nifH|consensus50|strict_single_dominant	95.9290
DSNY-50-1-Ro|nifH|consensus50|strict_single_dominant	87.3040
DSNY-56-1-Rh|nifH|consensus50|strict_single_dominant	95.5840
JERC-CRRO-64-1-Ro|nifH|consensus50|strict_single_dominant	87.7860
DSNY-83-2-Rh|nifH|consensus50|strict_single_dominant	84.8120
JERC-175-1-Ro|nifH|consensus50|strict_single_dominant	91.2920
KONZ-11-1-Rh|nifH|consensus50|strict_single_dominant	89.2770
JERC-178-2-No|nifH|consensus50|strict_single_dominant	82.1730
OSBS-109-4-Ro|nifH|consensus50|strict_single_dominant	96.2060
CLBJ-36-1-Rh|nifH|consensus50|strict_single_dominant	96.0840
JERC-185-3-Ro|nifH|consensus50|strict_single_dominant	96.7570
ORNL-21-No|nifH|consensus50|strict_single_dominant	95.8440
JERC-195-2-Rh|nifH|consensus50|strict_single_dominant	95.5840
DEJU-58-No|nifH|consensus50|strict_single_dominant	96.3350
DEJU-39-Rh|nifH|consensus50|strict_single_dominant	96.3960
DEJU-48-Rh|nifH|consensus50|strict_single_dominant	96.6230
DEJU-52-1-Ro|nifH|consensus50|strict_single_dominant	96.9970
JERC-172-2-Rh|nifH|consensus50|strict_single_dominant	88.3270
TALL-87-3-Rh|nifH|consensus50|strict_single_dominant	96.1040
DELA-5-1-Rh|nifH|consensus50|strict_single_dominant	90.5170
JERC-163-Ro|nifH|consensus50|strict_single_dominant	92.2010
TALL-33-1-Ro|nifH|consensus50|strict_single_dominant	94.2680
JERC-177-Ro|nifH|consensus50|strict_single_dominant	88.5820
JERC-185-3-Rh|nifH|consensus50|strict_single_dominant	90.2950
OAES-35-1-Rh|nifH|consensus50|strict_single_dominant	86.8830
JERC-184-3-Rh|nifH|consensus50|strict_single_dominant	95.5960
DSNY-61-4-Rh|nifH|consensus50|strict_single_dominant	88.6450
DSNY-83-5-Ro|nifH|consensus50|strict_single_dominant	88.7370
TALL-84-1-Rh|nifH|consensus50|strict_single_dominant	94.7780
UKFS-3-2-No|nifH|consensus50|strict_single_dominant	88.5500
JERC-CLMA-73-2-Ro|nifH|consensus50|strict_single_dominant	88.0580
JERC-CLMA-73-2-Rh|nifH|consensus50|strict_single_dominant	89.3250
TALL-7-2-Rh|nifH|consensus50|strict_single_dominant	96.0110
JERC-111-3-Rh|nifH|consensus50|strict_single_dominant	90.6410
TALL-46-2-Rh|nifH|consensus50|strict_single_dominant	94.7640
DELA-4-1-Rh|nifH|consensus50|strict_single_dominant	95.9460
TALL-89-1-Rh|nifH|consensus50|strict_single_dominant	96.3070
DEJU-36-Ro|nifH|consensus50|strict_single_dominant	96.2160
CLBJ-37-1-Rh|nifH|consensus50|strict_single_dominant	95.2880
DSNY-40-2-Rh|nifH|consensus50|strict_single_dominant	90.4970
JERC-187-1-Rh|nifH|consensus50|strict_single_dominant	95.1350
HEAL-7-1-Rh|nifH|consensus50|strict_single_dominant	91.1720
JERC-132-3-Rh|nifH|consensus50|strict_single_dominant	88.4060
DEJU-26-Rh|nifH|consensus50|strict_single_dominant	86.8980
DSNY-92-1-Ro|nifH|consensus50|strict_single_dominant	89.1930
WOOD-3-2-Rh|nifH|consensus50|strict_single_dominant	85.9760
JERC-89-1-Rh|nifH|consensus50|strict_single_dominant	89.9780
DEJU-58-Rh|nifH|consensus50|strict_single_dominant	89.4980
OSBS-67-1-Rh|nifH|consensus50|strict_single_dominant	93.1330
DEJU-34-Ro|nifH|consensus50|strict_single_dominant	95.4820
TALL-83-3-Rh|nifH|consensus50|strict_single_dominant	94.4280
WOOD-6-1-Rh|nifH|consensus50|strict_single_dominant	86.3250
WOOD-10-1-Ro|nifH|consensus50|strict_single_dominant	87.5890
DEJU-60-Rh|nifH|consensus50|strict_single_dominant	87.2860
DSNY-84-2-Ro|nifH|consensus50|strict_single_dominant	88.5250
TALL-20-1-Rh|nifH|consensus50|strict_single_dominant	86.1150
JERC-135-3-Rh|nifH|consensus50|strict_single_dominant	87.4240
JERC-91-1-Rh|nifH|consensus50|strict_single_dominant	86.2880
TALL-22-Ro|nifH|consensus50|strict_single_dominant	88.9840
OSBS-100-3-Rh|nifH|consensus50|strict_single_dominant	87.3630
HEAL-2-1-Rh|nifH|consensus50|strict_single_dominant	89.7870
HARV-1-3-Ro|nifH|consensus50|strict_single_dominant	96.1900
RMNP-4-Rh|nifH|consensus50|strict_single_dominant	87.5910
JERC-204-1-No|nifH|consensus50|strict_single_dominant	88.5540
OSBS-49-1-Rh|nifH|consensus50|strict_single_dominant	86.8900
CLBJ-38-1-Rh|nifH|consensus50|strict_single_dominant	91.3640
TALL-49-1-Rh|nifH|consensus50|strict_single_dominant	89.0010
DEJU-33-Ro|nifH|consensus50|strict_single_dominant	96.0730
JERC-180-5-Rh|nifH|consensus50|strict_single_dominant	94.7230
TALL-22-Rh|nifH|consensus50|strict_single_dominant	88.4620
JERC-96-2-Rh|nifH|consensus50|strict_single_dominant	92.0090
ORNL-19-Ro|nifH|consensus50|strict_single_dominant	95.3120
OSBS-80-2-Rh|nifH|consensus50|strict_single_dominant	93.4260
JERC-155-Rh|nifH|consensus50|strict_single_dominant	87.9810
DSNY-53-1-Ro|nifH|consensus50|strict_single_dominant	94.0220
GUAN-5-Rh|nifH|consensus50|strict_single_dominant	87.9520
OSBS-37-1-Rh|nifH|consensus50|strict_single_dominant	88.0290
OSBS-52-1-Rh|nifH|consensus50|strict_single_dominant	93.2070
JERC-99-3-Rh|nifH|consensus50|strict_single_dominant	88.2350
OSBS-66-1-Rh|nifH|consensus50|strict_single_dominant	89.1570
JERC-188-1-No|nifH|consensus50|strict_single_dominant	90.5490
DSNY-GARE-35-1-Rh|nifH|consensus50|strict_single_dominant	88.0720
OSBS-51-1-Rh|nifH|consensus50|strict_single_dominant	84.5800
KONZ-6-1-Rh|nifH|consensus50|strict_single_dominant	88.2000
DSNY-83-1-Rh|nifH|consensus50|strict_single_dominant	87.5900
GUAN-2-Rh|nifH|consensus50|strict_single_dominant	87.9120
ORNL-12-1-Ro|nifH|consensus50|strict_single_dominant	88.5230
KONZ-9-2-Rh|nifH|consensus50|strict_single_dominant	87.3970
OSBS-28-1-No|nifH|consensus50|strict_single_dominant	88.6860
TALL-12-2-Rh|nifH|consensus50|strict_single_dominant	90.8500
TALL-13-3-Ro|nifH|consensus50|strict_single_dominant	87.9560
TALL-7-2-Ro|nifH|consensus50|strict_single_dominant	93.3700
JERC-160-Rh|nifH|consensus50|strict_single_dominant	86.8290
JERC-197-1-No|nifH|consensus50|strict_single_dominant	87.8350
TOOL-8-Rh|nifH|consensus50|strict_single_dominant	87.9560
TOOL-5-No|nifH|consensus50|strict_single_dominant	87.1480
DSNY-30-1-No|nifH|consensus50|strict_single_dominant	87.5460
DSNY-28-1-Rh|nifH|consensus50|strict_single_dominant	94.4590
JERC-145-1-Rh|nifH|consensus50|strict_single_dominant	88.9290
DSNY-57-1-Rh|nifH|consensus50|strict_single_dominant	88.6200
DSNY-59-Ro|nifH|consensus50|strict_single_dominant	89.6340
DSNY-81-1-No|nifH|consensus50|strict_single_dominant	83.7150
DSNY-74-1-No|nifH|consensus50|strict_single_dominant	83.5890
HARV-1-2-Ro|nifH|consensus50|strict_single_dominant	93.3120
DSNY-28-1-Ro|nifH|consensus50|strict_single_dominant	88.3210
OSBS-71-1-Rh|nifH|consensus50|strict_single_dominant	87.1790
TALL-15-2-Rh|nifH|consensus50|strict_single_dominant	86.3120
TALL-8-2-Rh|nifH|consensus50|strict_single_dominant	89.8690
TALL-19-2-Ro|nifH|consensus50|strict_single_dominant	96.0960
OSBS-82-1-Ro|nifH|consensus50|strict_single_dominant	88.9020
N38-2-D-No|nifH|consensus50|strict_single_dominant	87.1390
N38-2-D-Ro|nifH|consensus50|strict_single_dominant	88.7150
ORNL-3-2-Ro|nifH|consensus50|strict_single_dominant	90.7860
DEJU-12-1-No|nifH|consensus50|strict_single_dominant	91.7040
JERC-161-Rh|nifH|consensus50|strict_single_dominant	86.2530
OSBS-21-2-No|nifH|consensus50|strict_single_dominant	87.9560
YELL-1-2-Rh|nifH|consensus50|strict_single_dominant	94.7950
LENO-1-1-Rh|nifH|consensus50|strict_single_dominant	90.5490
OSBS-12-1-No|nifH|consensus50|strict_single_dominant	89.2330
BONA-13-1-Rh|nifH|consensus50|strict_single_dominant	87.8210
DSNY-27-1-Ro|nifH|consensus50|strict_single_dominant	93.7680
DELA-2-2-No|nifH|consensus50|strict_single_dominant	90.3690
OSBS-8-5-Rh|nifH|consensus50|strict_single_dominant	92.4050
DEJU-58-Ro|nifH|consensus50|strict_single_dominant	95.6160
JERC-169-Rh|nifH|consensus50|strict_single_dominant	87.9120
TALL-26-3-Rh|nifH|consensus50|strict_single_dominant	87.3630
TOOL-5-Rh|nifH|consensus50|strict_single_dominant	89.0660
OSBS-81-1-Rh|nifH|consensus50|strict_single_dominant	87.1080
YELL-5-3-Ro|nifH|consensus50|strict_single_dominant	88.1030
CLBJ-28-3-Rh|nifH|consensus50|strict_single_dominant	87.4700
GUAN-10-Ro|nifH|consensus50|strict_single_dominant	89.7600
DELA-32-1-Rh|nifH|consensus50|strict_single_dominant	90.4760
LENO-8-3-Ro|nifH|consensus50|strict_single_dominant	92.0260
DELA-8-2-Rh|nifH|consensus50|strict_single_dominant	88.1090
DSNY-86-1-Rh|nifH|consensus50|strict_single_dominant	93.1690
CLBJ-14-1-Ro|nifH|consensus50|strict_single_dominant	90.4140
UNDE-1-2-Ro|nifH|consensus50|strict_single_dominant	90.8650
DSNY-27-1-Rh|nifH|consensus50|strict_single_dominant	95.3550
LENO-2-1-Rh|nifH|consensus50|strict_single_dominant	85.3690
DSNY-54-1-Rh|nifH|consensus50|strict_single_dominant	92.3910
CLBJ-7-1-No|nifH|consensus50|strict_single_dominant	91.2090
OSBS-20-1-Ro|nifH|consensus50|strict_single_dominant	90.5980
JERC-88-1-Rh|nifH|consensus50|strict_single_dominant	90.4590
OAES-37-2-Rh|nifH|consensus50|strict_single_dominant	89.3070
N38-2-D-Rh|nifH|consensus50|strict_single_dominant	87.4390
GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant	91.1860
DEJU-10-1-Ro|nifH|consensus50|strict_single_dominant	87.5000
JERC-170-Rh|nifH|consensus50|strict_single_dominant	90.3790
DEJU-51-1-Ro|nifH|consensus50|strict_single_dominant	90.8160
JERC-127-2-Ro|nifH|consensus50|strict_single_dominant	89.4420
CLBJ-31-2-No|nifH|consensus50|strict_single_dominant	88.7540
DEJU-1-1-No|nifH|consensus50|strict_single_dominant	88.8480
DEJU-42-No|nifH|consensus50|strict_single_dominant	88.6030
DEJU-62-1-No|nifH|consensus50|strict_single_dominant	89.7440
DEJU-46-Ro|nifH|consensus50|strict_single_dominant	88.2350
DEJU-3-1-No|nifH|consensus50|strict_single_dominant	87.7320
DEJU-2-No|nifH|consensus50|strict_single_dominant	88.0550
DEJU-13-1-No|nifH|consensus50|strict_single_dominant	90.8820
DEJU-43-No|nifH|consensus50|strict_single_dominant	88.1220
DEJU-38-No|nifH|consensus50|strict_single_dominant	90.5150
DEJU-40-No|nifH|consensus50|strict_single_dominant	84.0630
DEJU-60-No|nifH|consensus50|strict_single_dominant	88.0000
DEJU-45-1-No|nifH|consensus50|strict_single_dominant	86.6970
DEJU-37-No|nifH|consensus50|strict_single_dominant	87.8450
DEJU-39-No|nifH|consensus50|strict_single_dominant	85.4170
DEJU-36-No|nifH|consensus50|strict_single_dominant	82.0400
SJER-1-1-No|nifH|consensus50|strict_single_dominant	85.7960
