DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Site
COLOR	#000000
STRIP_WIDTH	35
MARGIN	5
SHOW_INTERNAL	0
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	#E16A86	BLAN
BONA-5-Rh|nifH|consensus50|strict_single_dominant	#DE6F75	BONA
JERC-162-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-57-2-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
BONA-9-No|nifH|consensus50|strict_single_dominant	#DE6F75	BONA
JERC-100-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-78-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-180-5-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-66-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-140-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-12-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-25-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-75-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-141-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
LENO-2-1-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
JERC-23-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-44-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-99-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-96-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DELA-4-1-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
TALL-62-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-41-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-4-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
OSBS-18-5-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-109-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-75-2-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-201-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-41-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-106-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-7-2-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
DEJU-24-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
SERC-6-1-Rh|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
SERC-1-1-Rh|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
TALL-93-3-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TOOL-28-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
OSBS-LEHI-62-5-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-100-3-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-LEHI-62-5-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
SERC-3-1-Ro|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
TOOL-33-1-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TALL-73-2-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
ORNL-8-2-Rh|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
JERC-150-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-109-4-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-18-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-148-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-143-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-99-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-43-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-45-5-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DEJU-2-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
JERC-187-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DSNY-25-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-86-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-48-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-88-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-38-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-26-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-79-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-80-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-67-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-170-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-50-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-63-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-24-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-39-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-89-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-26-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-35-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-164-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DSNY-49-2-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-CHNI-86-4-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-107-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-173-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-LEHI-62-5-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-49-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-51-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-54-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-92-4-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-16-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-53-3-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-195-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-18-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-CEVI-50-3-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-135-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-20-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-CLMA-83-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-50-5-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-163-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-41-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-39-5-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-110-4-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-58-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-76-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-126-4-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-127-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-180-5-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-128-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
TALL-57-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-51-3-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DEJU-16-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
CLBJ-20-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
JERC-198-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-37-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
CLBJ-40-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DELA-25-2-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
JERC-STBI-63-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-46-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DELA-21-1-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
LENO-8-3-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
CLBJ-33-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-157-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
LENO-6-1-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
OSBS-104-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
HARV-1-1-No|nifH|consensus50|strict_single_dominant	#849B00	HARV
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	#D467CD	UKFS
DSNY-89-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-101-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
SERC-7-1-No|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
DSNY-10-3-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
LAJA-15-1-No|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
JERC-88-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
NIWO-2-Ro|nifH|consensus50|strict_single_dominant	#00ADA1	NIWO
DELA-28-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
JERC-203-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
KONA-1-1-No|nifH|consensus50|strict_single_dominant	#00A849	KONA
SERC-4-1-No|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
DSNY-31-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-96-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DELA-7-3-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
ORNL-25-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
ORNL-25-1-Rh|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
JERC-98-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-13-2-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
DELA-33-1-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
N39-2-D-No|nifH|consensus50|strict_single_dominant	#E063B5	unknown
DELA-8-2-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
UKFS-6-1-No|nifH|consensus50|strict_single_dominant	#D467CD	UKFS
DSNY-54-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
GRSM-3-No|nifH|consensus50|strict_single_dominant	#A29300	GRSM
GRSM-1-No|nifH|consensus50|strict_single_dominant	#A29300	GRSM
SCBI-4-1-No|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
UKFS-52-1-No|nifH|consensus50|strict_single_dominant	#E063B5	unknown
HARV-3-1-No|nifH|consensus50|strict_single_dominant	#849B00	HARV
SCBI-6-1-No|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
SCBI-11-1-No|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
KONZ-2-1-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
HARV-4-1-No|nifH|consensus50|strict_single_dominant	#849B00	HARV
GRSM-3-Rh|nifH|consensus50|strict_single_dominant	#A29300	GRSM
LENO-10-2-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
LENO-4-3-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
LENO-1-1-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
LENO-13-2-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
SCBI-4-1-Ro|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
ORNL-16-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
SCBI-9-2-No|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
UKFS-5-1-No|nifH|consensus50|strict_single_dominant	#D467CD	UKFS
HARV-4-1-Rh|nifH|consensus50|strict_single_dominant	#849B00	HARV
SCBI-11-1-Rh|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
CLBJ-41-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
GRSM-4-2-Rh|nifH|consensus50|strict_single_dominant	#A29300	GRSM
CLBJ-46-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DSNY-CLFR-60-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-44-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-56-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-57-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-90-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
LENO-2-1-Ro|nifH|consensus50|strict_single_dominant	#00AD82	LENO
KONZ-14-1-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
TALL-55-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-27-2-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-100-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-147-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
LAJA-3-1-No|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
TOOL-15-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
N49-3-D-No|nifH|consensus50|strict_single_dominant	#E063B5	unknown
DSNY-27-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant	#949700	GUAN
JERC-127-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-170-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-75-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
CLBJ-14-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
UNDE-1-2-Ro|nifH|consensus50|strict_single_dominant	#DB64C1	UNDE
DEJU-51-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
LENO-8-3-Rh|nifH|consensus50|strict_single_dominant	#00AD82	LENO
TALL-90-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
LENO-2-1-Rh|nifH|consensus50|strict_single_dominant	#00AD82	LENO
DSNY-27-1-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-54-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-86-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
CLBJ-23-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-160-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-68-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
CLBJ-28-3-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
GUAN-10-Ro|nifH|consensus50|strict_single_dominant	#949700	GUAN
GUAN-2-Rh|nifH|consensus50|strict_single_dominant	#949700	GUAN
JERC-99-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DEJU-10-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
JERC-107-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-81-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
CLBJ-31-2-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DEJU-39-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-1-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-42-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-62-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-46-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-3-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-2-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-13-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-43-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-38-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-40-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-60-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-45-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-37-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-36-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
SJER-1-1-No|nifH|consensus50|strict_single_dominant	#7E89E6	SJER
TEAK-3-1-No|nifH|consensus50|strict_single_dominant	#BC72DE	TEAK
DEJU-47-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-2-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-11-1-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-44-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DCFS-2-2-Ro|nifH|consensus50|strict_single_dominant	#CC7F32	DCFS
TOOL-1-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
NOGP-7-2-Rh|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
DEJU-27-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
OSBS-100-3-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
WOOD-6-1-Rh|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
TALL-83-3-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
WOOD-10-1-Ro|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
DEJU-60-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
HEAL-2-1-Rh|nifH|consensus50|strict_single_dominant	#719F00	HEAL
RMNP-4-Rh|nifH|consensus50|strict_single_dominant	#009DDA	RMNP
SJER-4-1-No|nifH|consensus50|strict_single_dominant	#7E89E6	SJER
JERC-204-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DEJU-39-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-56-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DEJU-33-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-26-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
WOOD-3-2-Rh|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
DEJU-58-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-92-1-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-89-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DELA-6-3-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
JERC-135-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-20-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-22-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-62-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-6-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-91-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-67-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DEJU-19-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
TALL-89-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-58-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-176-5-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DEJU-4-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-59-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-81-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-74-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
HARV-1-2-Ro|nifH|consensus50|strict_single_dominant	#849B00	HARV
JERC-175-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-3-2-Ro|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
JERC-203-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
N38-2-D-No|nifH|consensus50|strict_single_dominant	#E063B5	unknown
N38-2-D-Ro|nifH|consensus50|strict_single_dominant	#E063B5	unknown
TALL-19-2-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DEJU-48-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-58-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-52-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
OSBS-80-2-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-46-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-83-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
GUAN-5-Rh|nifH|consensus50|strict_single_dominant	#949700	GUAN
OSBS-37-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-52-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-155-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-188-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-8-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
