tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status	clean_sample_id_from_blast
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-31-5-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_binae	Rhizobium	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	86.236	821	91.8345	0	887	NA	Strict single-dominant	Rhizobium	Rhizobium	JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-31-5-No	D03	Desmodium cf. floridanum	12/4/24	18.05	866.4	Half	JERC-31	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_007	Baker County	Georgia	yes	NA	NA	20240603	nodule	Desmodium	Desmodieae	yes	NA
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	CLBJ-20-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Neorhizobium_alkalisoli	Neorhizobium	nifH|Neorhizobium_alkalisoli|ACF98259.1	Neorhizobium_alkalisoli	89.627	723	99.7241	0	918	NA	Strict single-dominant	Neorhizobium	Neorhizobium	CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	CLBJ-20-1-No	D11	Clitoria mariana	6/20/24	46.25	2220	Half	CLBJ-20	dry	nodule	Fabaceae	CLBJ	Clitoria	Phaseoleae	CLBJ_003_T	Wise	TX	yes	33.403989	-97.572744	5/8/24	nodule	Clitoria	Phaseoleae	yes	NA
TALL-12-2-No|nifH|consensus50|strict_single_dominant	TALL-12-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	86.408	824	92.17	0	902	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	TALL-12-2-No|nifH|consensus50|strict_single_dominant	TALL-12-2-No	D08	Desmodium ciliare	3/28/25	0	0	Quarter	TALL-12	dry	nodule	Fabaceae	TALL	Desmodium	Desmodieae	TALL_054	Bibb County	AL	yes	32.94865	-87.39759	6/17/24	nodule	Desmodium	Desmodieae	yes	NA
TALL-25-2-No|nifH|consensus50|strict_single_dominant	TALL-25-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	86.529	824	92.17	0	904	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	TALL-25-2-No|nifH|consensus50|strict_single_dominant	TALL-25-2-No	D08	Chamaecrista nictitans	4/8/25	0.3135	15.048	Quarter	TALL-25	dry	nodule	Fabaceae	TALL	Chamaecrista	Cassieae	TALL_003	Bibb County	AL	yes	32.89341	-87.415	8/26/24	nodule	Chamaecrista	Cassieae	yes	NA
TALL-75-2-No|nifH|consensus50|strict_single_dominant	TALL-75-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	87.653	818	91.4989	0	948	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	TALL-75-2-No|nifH|consensus50|strict_single_dominant	TALL-75-2-No	D08	Lespedeza hirta	3/28/25	0.233	11.184	Quarter	TALL-75	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_005	Hale County	AL	yes	32.896946	-87.397281	9/4/24	nodule	Lespedeza	Desmodieae	yes	NA
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	DSNY-66-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	87.621	824	92.17	0	953	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	DSNY-66-1-No|nifH|consensus50|strict_single_dominant	DSNY-66-1-No	D03	Chamaecrista fasciculata	2/24/25	1.135	54.48	Quarter	DSNY-66	dry	nodule	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_003	Polk	Florida	yes	NA	NA	20240820	nodule	Chamaecrista	Cassieae	yes	NA
TALL-66-2-No|nifH|consensus50|strict_single_dominant	TALL-66-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	86.457	827	92.5056	0	911	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	TALL-66-2-No|nifH|consensus50|strict_single_dominant	TALL-66-2-No	D08	Lespedeza hirta	3/21/25	1.04	49.92	Quarter	TALL-66	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_047	Bibb County	AL	yes	32.951716	-87.399182	9/3/24	nodule	Lespedeza	Desmodieae	yes	NA
TALL-78-2-No|nifH|consensus50|strict_single_dominant	TALL-78-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_azibense	Rhizobium	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	88.228	824	92.17	0	981	NA	Strict single-dominant	Rhizobium	Rhizobium	TALL-78-2-No|nifH|consensus50|strict_single_dominant	TALL-78-2-No	D08	Chamaecrista nictitans	3/28/25	0.278	13.344	Quarter	TALL-78	dry	rhizosphere	Fabaceae	TALL	Chamaecrista	Cassieae	TALL_005	Hale County	AL	yes	32.896946	-87.397281	9/4/24	rhizosphere	Chamaecrista	Cassieae	yes	NA
TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	87.942	821	91.8345	0	965	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No	D08	Lespedeza hirta	3/20/25	0.801	38.448	Quarter	TALL-44	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_003	Bibb County	AL	yes	32.893117	-87.415111	8/27/24	nodule	Lespedeza	Desmodieae	yes	NA
JERC-99-3-No|nifH|consensus50|strict_single_dominant	JERC-99-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	85.871	821	91.8345	0	894	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	JERC-99-3-No|nifH|consensus50|strict_single_dominant	JERC-99-3-No	D03	Lespedeza bicolor	2/24/25	29.15	1399.2	Half	JERC-99	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_034	Baker County	Georgia	no	31.2725	-84.58055556	20240625	nodule	Lespedeza	Desmodieae	no	NA
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	DSNY-CRMA-35-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Bradyrhizobium_sp._PUT101	Bradyrhizobium	nifH|Bradyrhizobium_sp._PUT101|XYX37671.1	Bradyrhizobium_sp._PUT101	84.94	830	93.7853	0	841	NA	Strict single-dominant	Bradyrhizobium	Bradyrhizobium	DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	DSNY-CRMA-35-1-No	D03	Crotalaria maritima	9/18/24	0	0	Quarter	DSNY-CRMA-35	dry	nodule	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_001	Osceola	Florida	yes	NA	NA	20240402	nodule	Crotalaria	Crotalarieae	yes	NA
JERC-48-3-No|nifH|consensus50|strict_single_dominant	JERC-48-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Bradyrhizobium_sp._PUT101	Bradyrhizobium	nifH|Bradyrhizobium_sp._PUT101|XYX37671.1	Bradyrhizobium_sp._PUT101	85.319	831	93.8983	0	859	NA	Strict single-dominant	Bradyrhizobium	Bradyrhizobium	JERC-48-3-No|nifH|consensus50|strict_single_dominant	JERC-48-3-No	D03	Crotalaria rotundifolia	12/4/24	0.6865	32.952	Quarter	JERC-48	dry	nodule	Fabaceae	JERC	Crotalaria	Crotalarieae	JERC_002	Baker County	Georgia	yes	NA	NA	20240604	nodule	Crotalaria	Crotalarieae	yes	NA
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-75-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Bradyrhizobium_sp._PUT101	Bradyrhizobium	nifH|Bradyrhizobium_sp._PUT101|XYX37671.1	Bradyrhizobium_sp._PUT101	86.05	638	72.0904	0	682	NA	Strict single-dominant	Bradyrhizobium	Bradyrhizobium	JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-75-3-No	D03	Desmodium floridanum	12/4/24	1.505	72.24	Quarter	JERC-75	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_047	Baker County	Georgia	yes	NA	NA	20240618	nodule	Desmodium	Desmodieae	yes	NA
TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Burkholderia_vietnamiensis	Burkholderia	nifH|Burkholderia_vietnamiensis|KVE92620.1	Burkholderia_vietnamiensis	81.437	835	94.6712	0	726	NA	Strict single-dominant	Burkholderia	Burkholderia	TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No	D08	Galactia volubilis	3/20/25	0.051	2.448	Quarter	TALL-50	dry	nodule	Fabaceae	TALL	Galactia	Diocleae	TALL_006	Hale County	AL	yes	32.898847	-87.44631	8/27/24	nodule	Galactia	Diocleae	yes	NA
JERC-170-No|nifH|consensus50|strict_single_dominant	JERC-170-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Microvirga_lotononidis	Microvirga	nifH|Microvirga_lotononidis|WQO30062.1	Microvirga_lotononidis	86.032	630	70.4698	0	671	NA	Strict single-dominant	Microvirga	Microvirga	JERC-170-No|nifH|consensus50|strict_single_dominant	JERC-170-No	D03	Desmodium obtusum	2/27/25	0.299	14.352	Quarter	JERC-170	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_019	Baker County	Georgia	yes	NA	NA	20241003	nodule	Desmodium	Desmodieae	yes	NA
JERC-135-3-No|nifH|consensus50|strict_single_dominant	JERC-135-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM16083.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.758	702	78.5235	0	697	NA	Strict single-dominant	Sinorhizobium	Sinorhizobium	JERC-135-3-No|nifH|consensus50|strict_single_dominant	JERC-135-3-No	D03	Stylosanthes biflora	4/8/25	0.118	5.664	Quarter	JERC-135	dry	nodule	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	nodule	Stylosanthes	Dalbergieae	yes	NA
JERC-148-Ro|nifH|consensus50|strict_single_dominant	JERC-148-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM16083.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.157	802	89.7092	0	904	NA	Strict single-dominant	Sinorhizobium	Sinorhizobium	JERC-148-Ro|nifH|consensus50|strict_single_dominant	JERC-148-Ro	D03	Lespedeza virginica	5/14/25	0.7835	37.608	Quarter	JERC-148	dry	root	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_062	NA	Unknown	yes	NA	NA	20240924	root	Lespedeza	Desmodieae	yes	NA
TALL-18-1-No|nifH|consensus50|strict_single_dominant	TALL-18-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/05_blast_taxon_annotation/nifH_strict_best_reference_hit_with_taxon.tsv	nifH_strict_best_reference_hit_with_taxon.tsv	strict	nifH	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.178	719	72.1163	0	850	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	TALL-18-1-No|nifH|consensus50|strict_single_dominant	TALL-18-1-No	D08	Desmodium viridiflorum	4/8/25	0.472	22.656	Quarter	TALL-18	ethanol	nodule	Fabaceae	TALL	Desmodium	Desmodieae	TALL_047	Bibb County	AL	yes	32.951506	-87.398919	8/21/24	nodule	Desmodium	Desmodieae	yes	NA
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	OSBS-TEVI-61-4-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM16083.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.837	699	78.1879	0	736	NA	Strict single-dominant	Sinorhizobium	Sinorhizobium	OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	OSBS-TEVI-61-4-No	D03	Tephrosia virginiana	4/10/25	0	0	Quarter	OSBS-61	dry	nodule	Fabaceae	OSBS	Tephrosia	Millettieae	OSBS_004	Putnam	FL	yes	NA	NA	20240618	nodule	Tephrosia	Millettieae	yes	NA
