tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-31-5-No	D03	Desmodium cf. floridanum	12/4/24	18.05	866.4	Half	JERC-31	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_007	Baker County	Georgia	yes	NA	NA	20240603	nodule	Desmodium	Desmodieae	yes	Rhizobium	Rhizobium_sp._ZK1	86.236	82.347	0	887
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	CLBJ-20-1-No	D11	Clitoria mariana	6/20/24	46.25	2220	Half	CLBJ-20	dry	nodule	Fabaceae	CLBJ	Clitoria	Phaseoleae	CLBJ_003_T	Wise	TX	yes	33.403989	-97.572744	5/8/24	nodule	Clitoria	Phaseoleae	yes	Neorhizobium	Neorhizobium_alkalisoli	89.627	72.5176	0	918
TALL-12-2-No|nifH|consensus50|strict_single_dominant	TALL-12-2-No	D08	Desmodium ciliare	3/28/25	0	0	Quarter	TALL-12	dry	nodule	Fabaceae	TALL	Desmodium	Desmodieae	TALL_054	Bibb County	AL	yes	32.94865	-87.39759	6/17/24	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.408	82.6479	0	902
TALL-25-2-No|nifH|consensus50|strict_single_dominant	TALL-25-2-No	D08	Chamaecrista nictitans	4/8/25	0.3135	15.048	Quarter	TALL-25	dry	nodule	Fabaceae	TALL	Chamaecrista	Cassieae	TALL_003	Bibb County	AL	yes	32.89341	-87.415	8/26/24	nodule	Chamaecrista	Cassieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.529	82.6479	0	904
TALL-75-2-No|nifH|consensus50|strict_single_dominant	TALL-75-2-No	D08	Lespedeza hirta	3/28/25	0.233	11.184	Quarter	TALL-75	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_005	Hale County	AL	yes	32.896946	-87.397281	9/4/24	nodule	Lespedeza	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	87.653	82.0461	0	948
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	DSNY-66-1-No	D03	Chamaecrista fasciculata	2/24/25	1.135	54.48	Quarter	DSNY-66	dry	nodule	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_003	Polk	Florida	yes	NA	NA	20240820	nodule	Chamaecrista	Cassieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	87.621	82.6479	0	953
TALL-66-2-No|nifH|consensus50|strict_single_dominant	TALL-66-2-No	D08	Lespedeza hirta	3/21/25	1.04	49.92	Quarter	TALL-66	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_047	Bibb County	AL	yes	32.951716	-87.399182	9/3/24	nodule	Lespedeza	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.457	82.9488	0	911
TALL-78-2-No|nifH|consensus50|strict_single_dominant	TALL-78-2-No	D08	Chamaecrista nictitans	3/28/25	0.278	13.344	Quarter	TALL-78	dry	rhizosphere	Fabaceae	TALL	Chamaecrista	Cassieae	TALL_005	Hale County	AL	yes	32.896946	-87.397281	9/4/24	rhizosphere	Chamaecrista	Cassieae	yes	Rhizobium	Rhizobium_azibense	88.228	82.6479	0	981
TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No	D08	Lespedeza hirta	3/20/25	0.801	38.448	Quarter	TALL-44	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_003	Bibb County	AL	yes	32.893117	-87.415111	8/27/24	nodule	Lespedeza	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	87.942	82.347	0	965
JERC-99-3-No|nifH|consensus50|strict_single_dominant	JERC-99-3-No	D03	Lespedeza bicolor	2/24/25	29.15	1399.2	Half	JERC-99	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_034	Baker County	Georgia	no	31.2725	-84.58055556	20240625	nodule	Lespedeza	Desmodieae	no	Mesorhizobium	Mesorhizobium_sp._AaZ16	85.871	82.347	0	894
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	DSNY-CRMA-35-1-No	D03	Crotalaria maritima	9/18/24	0	0	Quarter	DSNY-CRMA-35	dry	nodule	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_001	Osceola	Florida	yes	NA	NA	20240402	nodule	Crotalaria	Crotalarieae	yes	Bradyrhizobium	Bradyrhizobium_sp._PUT101	84.94	83.2497	0	841
JERC-48-3-No|nifH|consensus50|strict_single_dominant	JERC-48-3-No	D03	Crotalaria rotundifolia	12/4/24	0.6865	32.952	Quarter	JERC-48	dry	nodule	Fabaceae	JERC	Crotalaria	Crotalarieae	JERC_002	Baker County	Georgia	yes	NA	NA	20240604	nodule	Crotalaria	Crotalarieae	yes	Bradyrhizobium	Bradyrhizobium_sp._PUT101	85.319	83.3501	0	859
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-75-3-No	D03	Desmodium floridanum	12/4/24	1.505	72.24	Quarter	JERC-75	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_047	Baker County	Georgia	yes	NA	NA	20240618	nodule	Desmodium	Desmodieae	yes	Bradyrhizobium	Bradyrhizobium_sp._PUT101	86.05	63.992	0	682
TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No	D08	Galactia volubilis	3/20/25	0.051	2.448	Quarter	TALL-50	dry	nodule	Fabaceae	TALL	Galactia	Diocleae	TALL_006	Hale County	AL	yes	32.898847	-87.44631	8/27/24	nodule	Galactia	Diocleae	yes	Burkholderia	Burkholderia_vietnamiensis	81.437	83.7513	0	726
JERC-170-No|nifH|consensus50|strict_single_dominant	JERC-170-No	D03	Desmodium obtusum	2/27/25	0.299	14.352	Quarter	JERC-170	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_019	Baker County	Georgia	yes	NA	NA	20241003	nodule	Desmodium	Desmodieae	yes	Microvirga	Microvirga_lotononidis	86.032	63.1896	0	671
JERC-135-3-No|nifH|consensus50|strict_single_dominant	JERC-135-3-No	D03	Stylosanthes biflora	4/8/25	0.118	5.664	Quarter	JERC-135	dry	nodule	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	nodule	Stylosanthes	Dalbergieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.758	70.4112	0	697
JERC-148-Ro|nifH|consensus50|strict_single_dominant	JERC-148-Ro	D03	Lespedeza virginica	5/14/25	0.7835	37.608	Quarter	JERC-148	dry	root	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_062	NA	Unknown	yes	NA	NA	20240924	root	Lespedeza	Desmodieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.157	80.4413	0	904
TALL-18-1-No|nifH|consensus50|strict_single_dominant	TALL-18-1-No	D08	Desmodium viridiflorum	4/8/25	0.472	22.656	Quarter	TALL-18	ethanol	nodule	Fabaceae	TALL	Desmodium	Desmodieae	TALL_047	Bibb County	AL	yes	32.951506	-87.398919	8/21/24	nodule	Desmodium	Desmodieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.178	72.1163	0	850
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	OSBS-TEVI-61-4-No	D03	Tephrosia virginiana	4/10/25	0	0	Quarter	OSBS-61	dry	nodule	Fabaceae	OSBS	Tephrosia	Millettieae	OSBS_004	Putnam	FL	yes	NA	NA	20240618	nodule	Tephrosia	Millettieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.837	70.1103	0	736
TALL-20-1-No|nifH|consensus50|strict_single_dominant	TALL-20-1-No	D08	Desmodium paniculatum	4/8/25	0.32	15.36	Quarter	TALL-20	dry	nodule	Fabaceae	TALL	Desmodium	Desmodieae	TALL_002	Hale County	AL	yes	32.922291	-87.428794	8/22/24	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_caraganae	83.092	83.0491	0	771
JERC-50-5-No|nifH|consensus50|strict_single_dominant	JERC-50-5-No	D03	Chamaecrista nictitans	12/4/24	1.18	56.64	Quarter	JERC-50	dry	nodule	Fabaceae	JERC	Chamaecrista	Cassieae	JERC_002	Baker County	Georgia	yes	NA	NA	20240604	nodule	Chamaecrista	Cassieae	yes	Bradyrhizobium	Bradyrhizobium_sp._PUT101	84.783	83.0491	0	832
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	JERC-172-2-Ro	D03	Desmodium paniculatum	2/26/25	0.1965	9.432	Quarter	JERC-172	dry	root	Fabaceae	JERC	Desmodium	Desmodieae	JERC_019	Baker County	Georgia	yes	NA	NA	20241003	root	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	84.531	82.347	0	832
JERC-39-5-No|nifH|consensus50|strict_single_dominant	JERC-39-5-No	D03	Stylosanthes biflora	3/3/25	4.145	198.96	Quarter	JERC-39	NA	nodule	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_003	Baker County	Georgia	yes	NA	NA	20240604	nodule	Stylosanthes	Dalbergieae	yes	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-04	86.068	64.7944	0	695
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	OSBS-70-3-No	D03	Desmodium strictum	1/28/25	0	0	Quarter	OSBS-70	dry	nodule	Fabaceae	OSBS	Desmodium	Desmodieae	OSBS_006	Putnam	FL	yes	NA	NA	20240822	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	84.709	82.6479	0	821
JERC-180-5-No|nifH|consensus50|strict_single_dominant	JERC-180-5-No	D03	Zornia bracteata	4/3/25	4.02	192.96	Quarter	JERC-180	dry	nodule	Fabaceae	JERC	Zornia	Dalbergieae	JERC_050	Baker County	Georgia	yes	NA	NA	20241028	nodule	Zornia	Dalbergieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.551	63.3902	0	693
JERC-126-4-No|nifH|consensus50|strict_single_dominant	JERC-126-4-No	D03	Lespedeza virginica	2/26/25	0.107	5.136	Quarter	JERC-126	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_002	Baker County	Georgia	yes	31.194341	-84.460314	20240730	nodule	Lespedeza	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	87.985	82.6479	0	970
TALL-76-3-No|nifH|consensus50|strict_single_dominant	TALL-76-3-No	D08	Desmodium laevigatum	3/28/25	0.1535	7.368	Quarter	TALL-76	dry	nodule	Fabaceae	TALL	Desmodium	Desmodieae	TALL_005	Hale County	AL	yes	32.896946	-87.397281	9/4/24	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	85.803	80.5416	0	872
JERC-127-2-No|nifH|consensus50|strict_single_dominant	JERC-127-2-No	D03	Desmodium obtusum	2/26/25	0	0	Quarter	JERC-127	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_002	Baker County	Georgia	yes	31.1940087	-84.4604029	20240730	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	87.621	82.6479	0	953
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	OSBS-58-1-No	D03	Stylosanthes biflora	2/26/25	3.445	165.36	Quarter	OSBS-58	dry	nodule	Fabaceae	OSBS	Stylosanthes	Dalbergieae	OSBS_063	Putnam	FL	yes	NA	NA	20240618	nodule	Stylosanthes	Dalbergieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	87.743	82.6479	0	959
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	JERC-49-2-Ro	D03	Stylosanthes biflora	12/4/24	3.89	186.72	Quarter	JERC-49	dry	root	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_002	Baker County	Georgia	yes	NA	NA	20240604	root	Stylosanthes	Dalbergieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	84.83	82.6479	0	857
JERC-96-2-No|nifH|consensus50|strict_single_dominant	JERC-96-2-No	D03	Crotalaria juncea	2/21/25	5.32	255.36	Half	JERC-96	dry	nodule	Fabaceae	JERC	Crotalaria	Crotalarieae	JERC_022	Baker County	Georgia	no	31.31638889	-84.53944444	20240625	nodule	Crotalaria	Crotalarieae	no	Mesorhizobium	Mesorhizobium_caraganae	84.848	82.7482	0	830
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	CLBJ-43-2-No	D11	Indigofera miniata	2/19/25	1.55	74.4	Quarter	CLBJ-43	dry	nodule	Fabaceae	CLBJ	Indigofera	Indigofereae	CLBJ_019_T	Wise	TX	yes	33.23721	-97.34166	9/4/24	nodule	Indigofera	Indigofereae	yes	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-04	85.902	83.9519	0	883
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	CLBJ-30-1-No	D11	Chamaecrista fasciculata	9/18/24	2.975	142.8	Quarter	CLBJ-30	ethanol	nodule	Fabaceae	CLBJ	Chamaecrista	Cassieae	CLBJ_036_R	Wise	TX	yes	33.397578	-97.57995	6/11/24	nodule	Chamaecrista	Cassieae	yes	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-04	90.172	64.2929	0	830
DELA-21-1-No|nifH|consensus50|strict_single_dominant	DELA-21-1-No	D08	Lespedeza cuneata	4/4/25	1.77	84.96	Quarter	DELA-21	dry	nodule	Fabaceae	DELA	Lespedeza	Desmodieae	DELA_041	Green County	AL	no	32.53927	-87.80968	8/14/24	nodule	Lespedeza	Desmodieae	no	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-04	90.388	64.6941	0	841
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-32-1-Rh	D11	Crotalaria sagittalis	2/26/25	0	0	Quarter	CLBJ-32	ethanol	rhizosphere	Fabaceae	CLBJ	Crotalaria	Crotalarieae	CLBJ_036_R	Wise	TX	yes	33.397578	-97.57995	6/11/24	rhizosphere	Crotalaria	Crotalarieae	yes	Bradyrhizobium	Bradyrhizobium_ottawaense	88.743	83.7513	0	1011
LENO-8-3-No|nifH|consensus50|strict_single_dominant	LENO-8-3-No	D08	Desmodium perplexum	3/20/25	0.077	3.696	Quarter	LENO-8	ethanol	nodule	Fabaceae	LENO	Desmodium	Desmodieae	LENO_002	Choctaw County	AL	yes	31.806911	-88.193998	7/2/24	nodule	Desmodium	Desmodieae	yes	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-04	89.875	64.3932	0	819
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	CLBJ-39-1-No	D11	Chamaecrista fasciculata	2/19/25	2.23	107.04	Quarter	CLBJ-39	ethanol	nodule	Fabaceae	CLBJ	Chamaecrista	Cassieae	CLBJ_034	Wise	TX	yes	33.23681	-97.34107	9/2/24	nodule	Chamaecrista	Cassieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.935	82.1464	0	920
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	CLBJ-34-1-No	D11	Lespedeza virginica	2/26/25	5.91	283.68	Half	CLBJ-34	ethanol	nodule	Fabaceae	CLBJ	Lespedeza	Desmodieae	CLBJ_036_R	Wise	TX	yes	33.397578	-97.57995	6/11/24	nodule	Lespedeza	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.941	82.9488	0	929
HARV-1-1-No|nifH|consensus50|strict_single_dominant	HARV-1-1-No	D01	Comptonia peregrina	9/25/24	5.565	267.12	Half	HARV-1	dry	nodule	Myricaceae	HARV	Comptonia	actinorhizal	HARV_004	Worcester	MA	yes	42.42709	-72.22974	5/2/24	nodule	Comptonia	actinorhizal	yes	Rhizobium	Rhizobium_azibense	87.393	81.9458	0	937
JERC-198-No|nifH|consensus50|strict_single_dominant	JERC-198-No	D03	Chamaecrista fasciculata	4/24/25	2.735	131.28	Quarter	JERC-198	dry	nodule	Fabaceae	JERC	Chamaecrista	Cassieae	JERC_004	Baker County	Georgia	yes	31.1903745	-84.4660419	20241029	nodule	Chamaecrista	Cassieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.602	82.347	0	904
JERC-37-2-No|nifH|consensus50|strict_single_dominant	JERC-37-2-No	D03	Centrosema virginiana	1/23/25	16.4	787.2	Half	JERC-37	dry	nodule	Fabaceae	JERC	Centrosema	Phaseoleae	JERC_001	Baker County	Georgia	yes	NA	NA	20240604	nodule	Centrosema	Phaseoleae	yes	Sinorhizobium	Sinorhizobium_fredii_(Rhizobium_fredii)	86.432	79.8395	0	870
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	JERC-CEVI-57-2-No	D03	Centrosema virginiana	12/4/24	8.3	398.4	Half	JERC-57	dry	nodule	Fabaceae	JERC	Centrosema	Phaseoleae	JERC_050	Baker County	Georgia	yes	NA	NA	20240618	nodule	Centrosema	Phaseoleae	yes	Rhizobium	Rhizobium_sp._ZK1	85.437	82.6479	0	854
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	JERC-37-2-Ro	D03	Centrosema virginiana	1/23/25	7.655	367.44	Half	JERC-37	dry	root	Fabaceae	JERC	Centrosema	Phaseoleae	JERC_001	Baker County	Georgia	yes	NA	NA	20240604	root	Centrosema	Phaseoleae	yes	Rhizobium	Rhizobium_sp._ZK1	87.015	82.6479	0	926
JERC-157-2-No|nifH|consensus50|strict_single_dominant	JERC-157-2-No	D03	Chamaecrista fasciculata	2/26/25	0	0	Quarter	JERC-157	dry	nodule	Fabaceae	JERC	Chamaecrista	Cassieae	JERC_015	Baker County	Georgia	yes	NA	NA	20241002	nodule	Chamaecrista	Cassieae	yes	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-04	86.451	83.651	0	935
LENO-6-1-No|nifH|consensus50|strict_single_dominant	LENO-6-1-No	D08	Hylodesmum pauciflorum	2/5/25	12.4	595.2	Half	LENO-6	ethanol	nodule	Fabaceae	LENO	Desmodium	Desmodieae	LENO_012	Choctaw County	AL	yes	31.80805	-88.179966	6/25/24	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._RIZ17	85.558	82.6479	0	863
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	UKFS-4-1-No	D06	Lespedeza cuneata	9/25/24	16.95	813.6	Half	UKFS-4	dry	nodule	Fabaceae	UKFS	Lespedeza	Desmodieae	UKFS_009	Douglas	KS	no	39.04552	-95.2015	6/27/24	nodule	Lespedeza	Desmodieae	no	Rhizobium	Rhizobium_azibense	86.659	81.9458	0	904
DSNY-101-1-No|nifH|consensus50|strict_single_dominant	DSNY-101-1-No	D03	Crotalaria spectabilis	2/26/25	1.495	71.76	Quarter	DSNY-101	dry	nodule	Fabaceae	DSNY	Crotalaria	Crotalarieae	NA	Osceola	FLorida	no	NA	NA	20241211	nodule	Crotalaria	Crotalarieae	no	Bradyrhizobium	Bradyrhizobium_sp._PMVTL-01	85.56	83.3501	0	917
DSNY-10-3-No|nifH|consensus50|strict_single_dominant	DSNY-10-3-No	D03	Crotalaria spectabilis	8/14/24	20.9	1003.2	Half	DSNY-CRSP-10	dry	nodule	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_044	Osceola	Florida	no	28.1264253	-81.4359074	20240320	nodule	Crotalaria	Crotalarieae	no	Mesorhizobium	Mesorhizobium_sp._AaZ16	89.229	81.9458	0	1020
LAJA-15-1-No|nifH|consensus50|strict_single_dominant	LAJA-15-1-No	D04	Cajanus cajan	3/19/25	43.1	2068.8	Half	LAJA-15	dry	nodule	Fabaceae	LAJA	Cajanus	Phaseoleae	LAJA_019	LAJA	P.R	no	18.03203	-67.07109	10/2/24	nodule	Cajanus	Phaseoleae	no	Bradyrhizobium	Bradyrhizobium_sp._SPXBL-02	87.575	83.9519	0	974
DELA-28-No|nifH|consensus50|strict_single_dominant	DELA-28-No	D08	Albizia julibrissin	4/4/25	57.5	2760	Half	DELA-28	NA	nodule	Fabaceae	DELA	Albizia	Mimosoideae	DELA_038	Green County	AL	no	32.55372	-87.81008	8/15/24	nodule	Albizia	Mimosoideae	no	Rhizobium	Rhizobium_sp._ZK1	86.506	83.2497	0	913
JERC-203-1-No|nifH|consensus50|strict_single_dominant	JERC-203-1-No	D03	Desmodium viridiflorum	4/3/25	7.53	361.44	Half	JERC-203	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_004	Baker County	Georgia	yes	NA	NA	20241029	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.061	82.7482	0	885
KONA-1-1-No|nifH|consensus50|strict_single_dominant	KONA-1-1-No	D06	Glycine max	5/14/25	10.3	494.4	Half	KONA-1	dry	nodule	Fabaceae	KONA	Glycine	Glycininae	KONA_002	Riley	KS	no	39.11537	-96.63876	20240807	nodule	Glycine	Glycininae	no	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.48	82.347	0	898
DSNY-31-1-No|nifH|consensus50|strict_single_dominant	DSNY-31-1-No	D03	Macroptilium lathyroides	9/18/24	35.15	1687.2	Half	DSNY-MALY-31	dry	nodule	Fabaceae	DSNY	Macroptilium	Phaseoleae	DSNY_044	Osceola	Florida	yes	28.126633	-81.435883	2024002	nodule	Macroptilium	Phaseoleae	yes	Rhizobium	Rhizobium_azibense	87.455	83.1494	0	952
JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	JERC-CRJU-86-1-No	D03	Crotalaria juncea	5/14/25	1.295	62.16	Quarter	JERC-CRJU-86	dry	nodule	Fabaceae	JERC	Crotalaria	Crotalarieae	JERC_030R	Baker County	Georgia	no	31.18563333	-84.4785	20240624	nodule	Crotalaria	Crotalarieae	no	Microvirga	Microvirga_sp._RSM25	87.026	81.9458	0	920
DELA-7-3-No|nifH|consensus50|strict_single_dominant	DELA-7-3-No	D08	Albizia julibrissin	4/4/25	47.8	2294.4	Half	DELA-7	ethanol	nodule	Fabaceae	DELA	Albizia	Mimosoideae	DELA_012	Green County	AL	no	32.531137	-87.817223	8/8/24	nodule	Albizia	Mimosoideae	no	Mesorhizobium	Mesorhizobium_caraganae	86.375	82.4473	0	898
JERC-98-3-No|nifH|consensus50|strict_single_dominant	JERC-98-3-No	D03	Lespedeza cuneata	2/24/25	0.6205	29.784	Quarter	JERC-98	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_034	Baker County	Georgia	no	31.26611111	-84.59333333	20240625	nodule	Lespedeza	Desmodieae	no	Mesorhizobium	Mesorhizobium_sp._RIZ17	86.047	81.9458	0	876
ORNL-13-2-No|nifH|consensus50|strict_single_dominant	ORNL-13-2-No	D07	Kummerowia striata	2/25/24	1.495	71.76	Quarter	ORNL-13	dry	nodule	Fabaceae	ORNL	Kummerowia	Desmodieae	ORNL_047	Anderson	TN	no	35.9525	-84.219722	7/11/24	nodule	Kummerowia	Desmodieae	no	Mesorhizobium	Mesorhizobium_sp._RIZ17	86.098	82.2467	0	881
