tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	clean_sample_id_from_blast	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
DSNY-5-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-5-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	85.12	1297	84.6606	0	1472	Mesorhizobium	Mixed-IUPAC	Mesorhizobium	Mesorhizobium	NA	DSNY-5-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-5-1-Rh	D03	Crotalaria maritima	8/14/24	0.066	3.168	Quarter	DSNY-CRMA-5	dry	rhizosphere	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_006	Osceola	Florida	yes	28.09298025 N, -81.39932663 W. WGS84.	NA	20240312	rhizosphere	Crotalaria	Crotalarieae	yes
NOGP-3-2-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	NOGP-3-2-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.55	1308	85.3786	0	1528	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	NOGP-3-2-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	NOGP-3-2-Rh	D09	Medicago lupulina	4/23/25	0	0	Quarter	NOGP-3	dry	rhizosphere	Fabaceae	NOGP	Medicago	Trifolieae	NOGP_064	NA	ND	no	46.77084	-100.9136386	6/25/24	rhizosphere	Medicago	Trifolieae	no
DSNY-13-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-13-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.041	777	50.718	0	876	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	DSNY-13-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-13-1-Ro	D03	Crotalaria pallida var. obovata	8/19/24	0.599	28.752	Quarter	DSNY-CRPA-13	dry	root	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_044	Osceola	Florida	yes	28.12693243	-81.43561487	20240320	root	Crotalaria	Crotalarieae	yes
DSNY-14-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-14-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.098	1308	85.3786	0	1358	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	DSNY-14-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-14-1-Ro	D03	Crotalaria pallida var. obovata	8/19/24	0.5255	25.224	Quarter	DSNY-CRPA-14	dry	root	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_044	Osceola	Florida	yes	28.12693243	-81.43561487	20240320	root	Crotalaria	Crotalarieae	yes
TEAK-3-1-Rh|nifD|consensus50|pass_single_dominant	TEAK-3-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Ensifer_aridi	Ensifer	nifD|Ensifer_aridi|XFE90111.1	Ensifer_aridi	83.844	1306	85.248	0	1356	Ensifer	Mixed-IUPAC	Ensifer	Ensifer	NA	TEAK-3-1-Rh|nifD|consensus50|pass_single_dominant	TEAK-3-1-Rh	D17	Acmispon americanus	4/15/25	14.85	712.8	Half	TEAK-3	dry	rhizosphere	Fabaceae	TEAK	Acmispon	Loteae	NA	Fresno	CA	yes	37.009052	-119.008213	#N/A	rhizosphere	Acmispon	Loteae	yes
BLAN-2-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-2-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.34	1304	85.1175	0	1692	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	BLAN-2-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-2-1-Rh	D02	Desmodium sp.	4/23/25	0	0	Quarter	BLAN-2	ethanol	rhizosphere	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	rhizosphere	Desmodium	Desmodieae	yes
DSNY-85-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-85-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP03454.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.49	1303	85.0522	0	1591	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	DSNY-85-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	DSNY-85-1-Rh	D03	Desmodium triflorum	4/4/25	0	0	Quarter	DSNY-85	dry	rhizosphere	Fabaceae	DSNY	Desmodium	Desmodieae	DSNY_015	Polk	Florida	yes	28.1094133	-81.4308468	20240904	rhizosphere	Desmodium	Desmodieae	yes
DEJU-54-Ro|nifD|consensus50|pass_single_dominant	DEJU-54-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.487	1293	84.3995	0	1857	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	DEJU-54-Ro|nifD|consensus50|pass_single_dominant	DEJU-54-Ro	D19	Alnus viridis	5/23/25	3.785	181.68	Quarter	DEJU-54	ethanol	root	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_045	NA	Unknown	yes	NA	NA	NA	root	Alnus	actinorhizal	yes
BLAN-4-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-4-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.605	777	50.718	0	1103	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	BLAN-4-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-4-1-Rh	D02	Elaeagnus umbellata	4/23/25	0	0	Quarter	BLAN-4	ethanol	rhizosphere	Elaeagnaceae	BLAN	Elaeagnus	actinorhizal	BLAN_020	Clarke	VA	no	39.100987	-77.980772	8/13/24	rhizosphere	Elaeagnus	actinorhizal	no
JERC-102-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	JERC-102-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.047	1297	84.6606	0	1639	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	JERC-102-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	JERC-102-1-Ro	D03	Ceanothus americanus	5/14/25	0.335	16.08	Quarter	JERC-102	dry	root	Rhamnaceae	JERC	Ceanothus	actinorhizal	JERC_019	Baker County	Georgia	yes	NA	NA	20240626	root	Ceanothus	actinorhizal	yes
OAES-4-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	OAES-4-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	86.876	1303	85.0522	0	1561	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	OAES-4-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	OAES-4-1-Rh	D11	Astragalus nuttallianus var. nuttallianus	6/25/24	0	0	Quarter	OAES-4	ethanol	rhizosphere	Fabaceae	OAES	Astragalus	Galegeae	OAES_042_T	Washita	OK	yes	35.40889	-99.05649	4/2/24	rhizosphere	Astragalus	Galegeae	yes
SERC-6-1-Rh|nifD|consensus50|pass_single_dominant	SERC-6-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.635	1294	84.4648	0	1591	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	SERC-6-1-Rh|nifD|consensus50|pass_single_dominant	SERC-6-1-Rh	D02	Glycine max	4/15/25	0	0	Quarter	SERC-6	ethanol	rhizosphere	Fabaceae	SERC	Glycine	Glycininae	SERC_018	Anne Arundel	MD	no	38.872901	-76.531642	9/25/24	rhizosphere	Glycine	Glycininae	no
SCBI-8-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	SCBI-8-2-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.685	777	50.718	0	822	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	SCBI-8-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	SCBI-8-2-Ro	D02	Elaeagnus umbellata	4/24/25	0.569	27.312	Quarter	SCBI-8	ethanol	root	Elaeagnaceae	SCBI	Elaeagnus	actinorhizal	SCBI-021	Warren	VA	no	38.900867	-78.152966	6/26/24	root	Elaeagnus	actinorhizal	no
WOOD-2-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	WOOD-2-2-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.833	777	50.718	0	1096	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	WOOD-2-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	WOOD-2-2-Ro	D09	Melilotus officinalis	5/2/25	1.885	90.48	Quarter	WOOD-2	ethanol	root	Fabaceae	WOOD	Melilotus	Trifolieae	DCFS_014	Stutsman	ND	no	46.89494	-98.6864	9/16/24	root	Melilotus	Trifolieae	no
