threshold	min_percent_covered	min_mean_depth	gene	target_id	no_samples	mc_samples	no_good_samples	mc_good_samples	no_good_fraction	mc_good_fraction	no_median_mean_depth	mc_median_mean_depth	no_median_percent_covered	mc_median_percent_covered	depth_ratio_no_vs_mc	good_fraction_difference	classification
pct80_depth10	80.0	10.0	nifB	nifB|NC_007777|NC_007777_-_Symbiosis_Island|ref14	952	2	1	0	0.0011	0.0000	2.7393	0.1689	13.4785	6.9129	16.2182	0.0011	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifB	nifB|NC_008278|NC_008278_-_Symbiosis_Island|ref15	952	2	324	2	0.3403	1.0000	8.5657	31.8777	70.5502	93.9806	0.2687	-0.6597	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifB	nifB|NC_009937|NC_009937_-_Symbiosis_Island_2|ref16	952	2	341	0	0.3582	0.0000	169.9189	3.9792	73.1731	73.4295	42.7018	0.3582	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifB	nifB|NC_011894|NC_011894_-_Symbiosis_Island_2|ref17	952	2	0	0	0.0000	0.0000	1.5181	0.2665	8.7508	2.1042	5.6962	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifB	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	952	2	43	0	0.0452	0.0000	0.0197	0.0000	1.2899	0.0000	999999.0000	0.0452	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifB	nifB|NC_014120|NC_014120_-_Symbiosis_Island_2|ref19	952	2	0	0	0.0000	0.0000	0.1676	1.5916	1.7824	3.6585	0.1053	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifB	nifB|NC_015656|NC_015656_-_Symbiosis_Island|ref20	952	2	40	0	0.0420	0.0000	1.6929	0.0226	10.5546	0.5665	74.7417	0.0420	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifB	nifB|NC_017249|NC_017249_-_Symbiosis_Island|ref21	952	2	401	2	0.4212	1.0000	41.0580	16.7630	80.3333	98.8333	2.4493	-0.5788	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifB	nifB|NC_019848|NC_019848_-_Symbiosis_Island_3|ref22	952	2	86	0	0.0903	0.0000	0.3883	0.0258	4.9898	0.6450	15.0504	0.0903	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifB	nifB|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref23	952	2	228	0	0.2395	0.0000	7.0793	1.8344	51.8218	39.4736	3.8593	0.2395	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifB	nifB|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref24	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifD	nifD|CU633751|CU633751_-_Symbiosis_Island|ref25	952	2	14	0	0.0147	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0147	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifD	nifD|NC_002678|NC_002678_-_Symbiosis_Island_3|ref26	952	2	104	0	0.1092	0.0000	6.4070	0.6109	34.5950	28.7185	10.4878	0.1092	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifD	nifD|NC_007777|NC_007777_-_Symbiosis_Island|ref27	952	2	96	0	0.1008	0.0000	1.2348	0.5058	15.4688	13.5181	2.4413	0.1008	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifD	nifD|NC_008278|NC_008278_-_Symbiosis_Island|ref28	952	2	448	2	0.4706	1.0000	11.8501	56.6106	96.8514	100.0000	0.2093	-0.5294	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifD	nifD|NC_009937|NC_009937_-_Symbiosis_Island_4|ref29	952	2	688	1	0.7227	0.5000	218.4914	6.8124	92.7478	90.6188	32.0728	0.2227	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifD	nifD|NC_011894|NC_011894_-_Symbiosis_Island|ref30	952	2	1	0	0.0011	0.0000	5.5560	0.1235	19.6640	6.3241	44.9879	0.0011	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifD	nifD|NC_012848|NC_012848_-_Symbiosis_Island_2|ref31	952	2	48	0	0.0504	0.0000	0.3516	0.0172	2.5132	0.8598	20.4390	0.0504	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifD	nifD|NC_014120|NC_014120_-_Symbiosis_Island_3|ref32	952	2	7	0	0.0074	0.0000	0.9781	0.4248	14.8566	2.0150	2.3023	0.0074	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifD	nifD|NC_015656|NC_015656_-_Symbiosis_Island|ref33	952	2	116	0	0.1218	0.0000	1.3953	1.3358	8.6291	3.8622	1.0445	0.1218	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifD	nifD|NC_017249|NC_017249_-_Symbiosis_Island|ref34	952	2	657	2	0.6901	1.0000	80.4780	27.4784	100.0000	100.0000	2.9288	-0.3099	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifD	nifD|NC_019848|NC_019848_-_Symbiosis_Island_2|ref35	952	2	124	0	0.1303	0.0000	3.5496	0.0549	18.9621	2.6946	64.6557	0.1303	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifD	nifD|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref36	952	2	382	0	0.4013	0.0000	18.1427	1.6095	76.8131	61.6102	11.2726	0.4013	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifD	nifD|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref37	952	2	0	0	0.0000	0.0000	0.1734	0.0180	3.9333	1.8000	9.6306	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifE	nifE|CU633751|CU633751_-_Symbiosis_Island|ref38	952	2	12	0	0.0126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0126	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifE	nifE|NC_002678|NC_002678_-_Symbiosis_Island_3|ref39	952	2	103	0	0.1082	0.0000	1.1053	0.1442	16.5996	3.3870	7.6650	0.1082	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifE	nifE|NC_007777|NC_007777_-_Symbiosis_Island|ref40	952	2	9	0	0.0095	0.0000	0.5580	1.1579	4.9234	2.2611	0.4819	0.0095	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifE	nifE|NC_008278|NC_008278_-_Symbiosis_Island|ref41	952	2	310	2	0.3256	1.0000	6.9639	30.4584	78.9570	100.0000	0.2286	-0.6744	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifE	nifE|NC_009937|NC_009937_-_Symbiosis_Island_4|ref42	952	2	175	0	0.1838	0.0000	45.3987	1.4581	59.5960	41.7112	31.1355	0.1838	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifE	nifE|NC_011894|NC_011894_-_Symbiosis_Island|ref43	952	2	0	0	0.0000	0.0000	1.3255	0.0132	8.2183	0.6574	100.7947	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifE	nifE|NC_012848|NC_012848_-_Symbiosis_Island_2|ref44	952	2	46	0	0.0483	0.0000	0.0984	0.0000	1.4206	0.0000	999999.0000	0.0483	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifE	nifE|NC_014120|NC_014120_-_Symbiosis_Island|ref45	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifE	nifE|NC_015656|NC_015656_-_Symbiosis_Island|ref46	952	2	60	0	0.0630	0.0000	1.4746	1.6125	7.4790	5.5448	0.9144	0.0630	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifE	nifE|NC_017249|NC_017249_-_Symbiosis_Island|ref47	952	2	517	2	0.5431	1.0000	63.1092	19.6253	86.5572	99.5438	3.2157	-0.4569	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifE	nifE|NC_019848|NC_019848_-_Symbiosis_Island_2|ref48	952	2	86	0	0.0903	0.0000	1.3211	0.0000	3.7736	0.0000	999999.0000	0.0903	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifE	nifE|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref49	952	2	288	0	0.3025	0.0000	8.1331	2.2676	67.0691	68.1087	3.5867	0.3025	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifE	nifE|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref50	952	2	0	0	0.0000	0.0000	0.1079	0.0000	1.7470	0.0000	999999.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifH	nifH|CU633751|CU633751_-_Symbiosis_Island|ref51	952	2	20	0	0.0210	0.0000	0.0578	0.0000	2.2676	0.0000	999999.0000	0.0210	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifH	nifH|NC_002678|NC_002678_-_Symbiosis_Island_3|ref52	952	2	244	0	0.2563	0.0000	31.7752	0.7673	60.2349	54.0268	41.4089	0.2563	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifH	nifH|NC_007777|NC_007777_-_Symbiosis_Island|ref53	952	2	141	0	0.1481	0.0000	2.2141	6.0591	35.2430	45.8333	0.3654	0.1481	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifH	nifH|NC_008278|NC_008278_-_Symbiosis_Island|ref54	952	2	452	2	0.4748	1.0000	12.5700	62.5857	98.4954	100.0000	0.2008	-0.5252	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifH	nifH|NC_009937|NC_009937_-_Symbiosis_Island_3|ref55	952	2	608	1	0.6387	0.5000	154.6779	5.9562	88.6644	70.9316	25.9692	0.1387	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifH	nifH|NC_009937|NC_009937_-_Symbiosis_Island_4|ref56	952	2	671	0	0.7048	0.0000	292.2009	5.1874	90.4602	86.6442	56.3290	0.7048	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifH	nifH|NC_011894|NC_011894_-_Symbiosis_Island|ref57	952	2	5	0	0.0053	0.0000	9.7144	1.5267	34.1111	26.6667	6.3630	0.0053	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifH	nifH|NC_012848|NC_012848_-_Symbiosis_Island_2|ref58	952	2	46	0	0.0483	0.0000	0.1357	0.0000	3.6036	0.0000	999999.0000	0.0483	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifH	nifH|NC_014120|NC_014120_-_Symbiosis_Island_3|ref59	952	2	14	0	0.0147	0.0000	0.5374	0.0000	9.6372	0.0000	999999.0000	0.0147	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifH	nifH|NC_015656|NC_015656_-_Symbiosis_Island|ref60	952	2	125	0	0.1313	0.0000	0.6993	0.0000	11.2829	0.0000	999999.0000	0.1313	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifH	nifH|NC_017249|NC_017249_-_Symbiosis_Island|ref61	952	2	665	2	0.6985	1.0000	126.4288	30.6570	100.0000	100.0000	4.1240	-0.3015	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifH	nifH|NC_019848|NC_019848_-_Symbiosis_Island_2|ref62	952	2	111	0	0.1166	0.0000	3.6124	0.2326	19.7428	6.3758	15.5274	0.1166	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifH	nifH|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref63	952	2	459	0	0.4821	0.0000	234.8804	2.5738	85.3468	45.6375	91.2582	0.4821	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifH	nifH|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref64	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifJ	nifJ|NC_007777|NC_007777_-_nifJ_CDS|ref65	952	2	16	0	0.0168	0.0000	1.8513	0.2214	10.2105	5.7878	8.3618	0.0168	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifJ	nifJ|NC_008278|NC_008278_-_nifJ_CDS|ref66	952	2	227	2	0.2384	1.0000	4.8140	14.8536	53.9682	98.6112	0.3241	-0.7616	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifK	nifK|CU633751|CU633751_-_Symbiosis_Island|ref67	952	2	14	0	0.0147	0.0000	0.0244	0.0211	1.2179	2.1154	1.1537	0.0147	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NC_002678|NC_002678_-_Symbiosis_Island_3|ref68	952	2	149	0	0.1565	0.0000	1.5616	1.6057	35.8625	23.4111	0.9726	0.1565	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NC_007777|NC_007777_-_Symbiosis_Island|ref69	952	2	35	0	0.0368	0.0000	1.1952	0.0244	9.2165	1.2203	48.9836	0.0368	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NC_008278|NC_008278_-_Symbiosis_Island|ref70	952	2	356	2	0.3739	1.0000	7.6222	47.1586	84.0371	99.9680	0.1616	-0.6261	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifK	nifK|NC_009937|NC_009937_-_Symbiosis_Island_4|ref71	952	2	416	0	0.4370	0.0000	66.3436	6.0663	75.2884	77.4680	10.9363	0.4370	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifK	nifK|NC_011894|NC_011894_-_Symbiosis_Island|ref72	952	2	0	0	0.0000	0.0000	5.5123	0.5507	18.2586	16.2443	10.0097	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifK	nifK|NC_012848|NC_012848_-_Symbiosis_Island_2|ref73	952	2	48	0	0.0504	0.0000	0.3043	0.0000	5.9034	0.0000	999999.0000	0.0504	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NC_014120|NC_014120_-_Symbiosis_Island_3|ref74	952	2	6	0	0.0063	0.0000	1.2488	0.0000	8.7180	0.0000	999999.0000	0.0063	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NC_015656|NC_015656_-_Symbiosis_Island|ref75	952	2	66	0	0.0693	0.0000	0.4705	0.1293	3.9370	1.9357	3.6398	0.0693	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NC_017249|NC_017249_-_Symbiosis_Island|ref76	952	2	634	2	0.6660	1.0000	126.6339	28.7364	99.9358	100.0000	4.4067	-0.3340	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifK	nifK|NC_019848|NC_019848_-_Symbiosis_Island_2|ref77	952	2	95	0	0.0998	0.0000	0.3522	0.0917	7.8470	4.6368	3.8381	0.0998	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifK	nifK|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref78	952	2	289	0	0.3036	0.0000	6.3175	0.4523	67.0882	24.6109	13.9658	0.3036	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifK	nifK|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref79	952	2	0	0	0.0000	0.0000	0.0272	0.0000	1.2322	0.0000	999999.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifN	nifN|CU633751|CU633751_-_Symbiosis_Island|ref80	952	2	11	0	0.0116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0116	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifN	nifN|NC_002678|NC_002678_-_Symbiosis_Island_3|ref81	952	2	171	0	0.1796	0.0000	2.1573	0.1023	35.7557	5.9653	21.0880	0.1796	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifN	nifN|NC_009937|NC_009937_-_Symbiosis_Island_4|ref82	952	2	35	0	0.0368	0.0000	4.6067	1.7080	20.1754	52.5951	2.6972	0.0368	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifN	nifN|NC_011894|NC_011894_-_Symbiosis_Island|ref83	952	2	0	0	0.0000	0.0000	1.5832	0.2769	5.6399	2.8561	5.7174	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifN	nifN|NC_012848|NC_012848_-_Symbiosis_Island_2|ref84	952	2	33	0	0.0347	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0347	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifN	nifN|NC_014120|NC_014120_-_Symbiosis_Island|ref85	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifN	nifN|NC_015656|NC_015656_-_Symbiosis_Island|ref86	952	2	29	0	0.0305	0.0000	0.6487	8.1382	4.7414	2.2271	0.0797	0.0305	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifN	nifN|NC_017249|NC_017249_-_Symbiosis_Island|ref87	952	2	285	2	0.2994	1.0000	16.1450	15.6351	70.0000	98.6525	1.0326	-0.7006	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifN	nifN|NC_019848|NC_019848_-_Symbiosis_Island_4|ref88	952	2	76	0	0.0798	0.0000	0.1320	0.1206	1.5083	0.7541	1.0941	0.0798	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifN	nifN|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref89	952	2	104	0	0.1092	0.0000	1.0553	0.2166	22.1620	13.7744	4.8732	0.1092	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifN	nifN|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref90	952	2	0	0	0.0000	0.0000	0.0000	0.0149	0.0000	1.4848	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifQ	nifQ|CU633751|CU633751_-_Symbiosis_Island|ref91	952	2	11	0	0.0116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0116	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifQ	nifQ|NC_002678|NC_002678_-_nitrogen_fixation_protein_NifQ_CDS|ref92	952	2	0	0	0.0000	0.0000	0.1235	0.0000	3.0864	0.0000	999999.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifQ	nifQ|NC_009937|NC_009937_-_Symbiosis_Island_3|ref93	952	2	0	0	0.0000	0.0000	0.9170	0.1681	11.8550	12.6220	5.4567	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifQ	nifQ|NC_011894|NC_011894_-_Symbiosis_Island|ref94	952	2	0	0	0.0000	0.0000	0.3928	0.1227	2.7132	1.2274	3.2000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifQ	nifQ|NC_014118|NC_014118_-_nitrogen_fixation_protein_NifQ_CDS|ref95	952	2	1	0	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifQ	nifQ|NC_014120|NC_014120_-_Symbiosis_Island|ref96	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifQ	nifQ|NC_017249|NC_017249_-_Symbiosis_Island|ref97	952	2	62	0	0.0651	0.0000	3.7497	7.8858	44.5665	89.7436	0.4755	0.0651	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifQ	nifQ|NZ_CP141049|NZ_CP141049_-_nitrogen_fixation_protein_NifQ_CDS|ref98	952	2	50	0	0.0525	0.0000	1.1429	0.6934	25.3968	14.3578	1.6484	0.0525	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifS	nifS|NC_002678|NC_002678_-_Symbiosis_Island_2|ref99	952	2	9	0	0.0095	0.0000	0.7550	0.0000	12.3707	0.0000	999999.0000	0.0095	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifS	nifS|NC_009937|NC_009937_-_Symbiosis_Island_2|ref100	952	2	6	0	0.0063	0.0000	1.5165	0.1085	11.2637	9.9817	13.9770	0.0063	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifS	nifS|NC_017249|NC_017249_-_Symbiosis_Island|ref101	952	2	318	2	0.3340	1.0000	11.4209	13.2424	74.5347	100.0000	0.8624	-0.6660	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifT	nifT|NC_002678|NC_002678_-_Symbiosis_Island_1|ref102	952	2	10	0	0.0105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0105	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifT	nifT|NC_009937|NC_009937_-_Symbiosis_Island_2|ref103	952	2	173	0	0.1817	0.0000	0.5388	0.7808	9.1324	39.9544	0.6901	0.1817	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifT	nifT|NC_011894|NC_011894_-_Symbiosis_Island_2|ref104	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifT	nifT|NC_012848|NC_012848_-_Symbiosis_Island|ref105	952	2	8	0	0.0084	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0084	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifT	nifT|NC_014120|NC_014120_-_Symbiosis_Island_2|ref106	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifT	nifT|NC_017249|NC_017249_-_Symbiosis_Island|ref107	952	2	373	2	0.3918	1.0000	5.9356	14.1488	82.6667	99.7778	0.4195	-0.6082	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifT	nifT|NC_019848|NC_019848_-_Symbiosis_Island_3|ref108	952	2	66	0	0.0693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0693	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifT	nifT|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref109	952	2	217	0	0.2279	0.0000	1.9624	0.0000	47.8873	0.0000	999999.0000	0.2279	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifT	nifT|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref110	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifU	nifU|NC_002678|NC_002678_-_NifU_family_protein_CDS|ref111	952	2	720	0	0.7563	0.0000	111.9526	3.5026	95.7018	66.7544	31.9627	0.7563	PROMISING_MC_AWARE
pct80_depth10	80.0	10.0	nifU	nifU|NC_007777|NC_007777_-_NifU_family_protein_CDS|ref112	952	2	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifU	nifU|NC_008278|NC_008278_-_NifU_family_protein_CDS|ref113	952	2	63	0	0.0662	0.0000	0.3002	0.8921	3.1674	42.6093	0.3364	0.0662	LOW_OR_LIMITED_SIGNAL
