threshold	min_percent_covered	min_mean_depth	gene	sample_group	rows	unique_samples	targets_tested	good_rows	samples_with_at_least_one_good_target	good_sample_fraction	median_percent_covered	median_mean_depth	mean_percent_covered	mean_mean_depth	max_mean_depth
pct80_depth10	80.0	10.0	nifJ	Ro	1928	964	2	152	150	0.1556	16.4395	2.2477	29.7630	35.6312	7778.6029
pct80_depth10	80.0	10.0	nifK	MC	26	2	13	4	2	1.0000	2.4998	0.0749	27.0470	6.5259	62.1196
pct80_depth10	80.0	10.0	nifK	No	12376	952	13	2108	919	0.9653	13.6538	1.7135	33.9635	464.9934	7946.9660
pct80_depth10	80.0	10.0	nifK	Rh	12857	989	13	1767	863	0.8726	11.1111	1.2336	30.5681	119.4375	7944.3464
pct80_depth10	80.0	10.0	nifK	Ro	12532	964	13	1587	825	0.8558	8.7549	0.5178	29.6348	72.2271	7942.3132
pct80_depth10	80.0	10.0	nifN	MC	22	2	11	2	2	1.0000	2.2271	0.1225	16.2099	2.3830	19.4851
pct80_depth10	80.0	10.0	nifN	No	10472	952	11	744	531	0.5578	3.1092	0.3456	20.9493	232.7434	7947.1872
pct80_depth10	80.0	10.0	nifN	Rh	10879	989	11	453	352	0.3559	4.1215	0.4321	18.8757	36.3228	7838.2157
pct80_depth10	80.0	10.0	nifN	Ro	10604	964	11	441	338	0.3506	1.8800	0.1542	18.0262	30.7683	7944.1923
pct80_depth10	80.0	10.0	nifQ	MC	18	2	8	0	0	0.0000	0.0000	0.0000	13.1057	0.9855	8.2051
pct80_depth10	80.0	10.0	nifQ	No	8568	952	8	124	122	0.1282	2.7132	0.0796	13.0843	139.0151	7945.7021
pct80_depth10	80.0	10.0	nifQ	Rh	8901	989	8	69	69	0.0698	2.9321	0.1392	11.8380	25.4090	6085.1941
pct80_depth10	80.0	10.0	nifQ	Ro	8676	964	8	53	53	0.0550	0.0000	0.0000	10.4655	15.0819	5713.8056
pct80_depth10	80.0	10.0	nifS	MC	6	2	3	2	2	1.0000	9.9817	0.1085	36.6606	4.4503	14.4357
pct80_depth10	80.0	10.0	nifS	No	2856	952	3	333	328	0.3445	20.0513	1.9249	33.2247	398.3615	7946.5914
pct80_depth10	80.0	10.0	nifS	Rh	2967	989	3	153	153	0.1547	18.8544	2.0313	27.6016	47.0967	7376.6971
pct80_depth10	80.0	10.0	nifS	Ro	2892	964	3	135	135	0.1400	14.5983	0.7591	26.7651	30.1194	7739.1193
pct80_depth10	80.0	10.0	nifT	MC	18	2	9	2	2	1.0000	0.0000	0.0000	15.5258	1.6588	15.8044
pct80_depth10	80.0	10.0	nifT	No	8568	952	9	847	629	0.6607	0.0000	0.0000	21.5274	242.4968	7944.8222
pct80_depth10	80.0	10.0	nifT	Rh	8901	989	9	635	505	0.5106	0.0000	0.0000	19.8309	49.4219	7755.7067
pct80_depth10	80.0	10.0	nifT	Ro	8676	964	9	530	436	0.4523	0.0000	0.0000	18.5299	28.2649	7746.0563
pct80_depth10	80.0	10.0	nifU	MC	24	2	12	2	2	1.0000	3.6258	0.2169	25.0831	2.7942	28.5193
pct80_depth10	80.0	10.0	nifU	No	11424	952	12	2119	929	0.9758	21.6931	2.3268	36.4010	432.3769	7921.8175
pct80_depth10	80.0	10.0	nifU	Rh	11868	989	12	2444	928	0.9383	28.9242	6.8969	39.2261	286.5338	7875.5719
pct80_depth10	80.0	10.0	nifU	Ro	11568	964	12	2020	882	0.9149	20.3901	1.5057	35.0401	119.4209	7800.2028
pct80_depth10	80.0	10.0	nifV	MC	12	2	6	2	2	1.0000	1.6667	0.0838	20.8012	3.0814	20.9089
pct80_depth10	80.0	10.0	nifV	No	5712	952	6	280	259	0.2721	3.2562	0.4953	15.1936	199.4847	7945.7254
pct80_depth10	80.0	10.0	nifV	Rh	5934	989	6	145	140	0.1416	3.0702	0.4287	12.7533	13.6405	7555.9072
pct80_depth10	80.0	10.0	nifV	Ro	5784	964	6	142	132	0.1369	1.7456	0.0950	11.6104	21.4645	7878.9532
pct80_depth10	80.0	10.0	nifW	MC	22	2	10	2	2	1.0000	2.5133	0.1061	24.6366	3.2755	29.1035
pct80_depth10	80.0	10.0	nifW	No	10472	952	10	787	571	0.5998	0.0000	0.0000	20.9337	298.2430	7950.2807
pct80_depth10	80.0	10.0	nifW	Rh	10879	989	10	434	311	0.3145	0.0000	0.0000	17.4251	30.1217	7926.6086
pct80_depth10	80.0	10.0	nifW	Ro	10604	964	10	408	305	0.3164	0.0000	0.0000	17.1798	27.0099	7944.4596
pct80_depth10	80.0	10.0	nifX	MC	40	2	20	8	2	1.0000	3.8978	0.1477	29.1089	5.4899	59.1982
pct80_depth10	80.0	10.0	nifX	No	19040	952	20	2074	807	0.8477	5.0201	0.5055	27.7130	323.3023	7948.3655
pct80_depth10	80.0	10.0	nifX	Rh	19780	989	20	1296	598	0.6047	5.3030	0.5401	24.2609	53.4448	7936.2545
pct80_depth10	80.0	10.0	nifX	Ro	19280	964	20	1187	567	0.5882	4.1152	0.1545	23.1124	40.9724	7946.3750
pct80_depth10	80.0	10.0	nifZ	MC	22	2	11	1	1	0.5000	0.0000	0.0000	19.2111	1.6530	13.0857
pct80_depth10	80.0	10.0	nifZ	No	10472	952	11	810	646	0.6786	5.1213	0.1373	21.6411	284.4913	7946.6857
pct80_depth10	80.0	10.0	nifZ	Rh	10879	989	11	446	387	0.3913	5.5202	0.2385	18.9607	52.5008	6808.0392
pct80_depth10	80.0	10.0	nifZ	Ro	10604	964	11	443	389	0.4035	0.0000	0.0000	18.0180	33.6478	7416.8047
pct80_depth10	80.0	10.0	nodA	MC	22	2	11	1	1	0.5000	0.0000	0.0000	9.2363	1.4108	21.5798
pct80_depth10	80.0	10.0	nodA	No	10472	952	11	498	440	0.4622	0.0000	0.0000	14.2793	153.5324	7947.0481
pct80_depth10	80.0	10.0	nodA	Rh	10879	989	11	288	263	0.2659	0.0000	0.0000	11.2298	16.9078	7945.7377
pct80_depth10	80.0	10.0	nodA	Ro	10604	964	11	302	275	0.2853	0.0000	0.0000	11.1953	21.0986	7945.8385
pct80_depth10	80.0	10.0	nodB	MC	22	2	11	2	2	1.0000	0.0000	0.0000	12.9398	2.1598	32.1212
pct80_depth10	80.0	10.0	nodB	No	10472	952	11	576	453	0.4758	2.2300	0.0532	17.1725	182.9600	7946.9061
pct80_depth10	80.0	10.0	nodB	Rh	10879	989	11	370	287	0.2902	0.0000	0.0000	13.6362	23.1333	7935.8200
pct80_depth10	80.0	10.0	nodB	Ro	10604	964	11	379	291	0.3019	0.0000	0.0000	13.8844	31.8346	7944.4006
pct80_depth10	80.0	10.0	nodC	MC	22	2	11	2	2	1.0000	1.5361	0.0997	13.5172	1.8853	23.5487
pct80_depth10	80.0	10.0	nodC	No	10472	952	11	572	487	0.5116	6.0195	0.3231	19.0771	213.0170	7946.8258
pct80_depth10	80.0	10.0	nodC	Rh	10879	989	11	319	288	0.2912	1.7113	0.0955	14.0445	25.8919	7912.6323
pct80_depth10	80.0	10.0	nodC	Ro	10604	964	11	345	309	0.3205	1.4902	0.0563	14.4857	27.3278	7944.2584
pct80_depth10	80.0	10.0	nodD	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct80_depth10	80.0	10.0	nodD	No	952	952	1	12	12	0.0126	0.0000	0.0000	4.4486	41.6721	7945.7706
pct80_depth10	80.0	10.0	nodD	Rh	989	989	1	10	10	0.0101	0.0000	0.0000	3.8109	0.7955	415.0600
pct80_depth10	80.0	10.0	nodD	Ro	964	964	1	16	16	0.0166	0.0000	0.0000	4.3861	14.7119	6491.2529
pct80_depth10	80.0	10.0	nodH	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct80_depth10	80.0	10.0	nodH	No	952	952	1	12	12	0.0126	0.0000	0.0000	4.3568	41.5805	7945.9076
pct80_depth10	80.0	10.0	nodH	Rh	989	989	1	8	8	0.0081	0.0000	0.0000	3.9878	0.7752	440.7122
pct80_depth10	80.0	10.0	nodH	Ro	964	964	1	12	12	0.0124	0.0000	0.0000	4.3577	13.8304	6953.6801
pct80_depth10	80.0	10.0	nodI	MC	18	2	9	2	2	1.0000	0.0000	0.0000	16.9917	2.9676	28.5179
pct80_depth10	80.0	10.0	nodI	No	8568	952	9	805	604	0.6345	10.0419	1.3187	27.8956	343.3569	7946.7264
pct80_depth10	80.0	10.0	nodI	Rh	8901	989	9	455	378	0.3822	10.2719	1.7872	24.2301	55.6938	7848.4654
pct80_depth10	80.0	10.0	nodI	Ro	8676	964	9	395	348	0.3610	6.8027	0.5335	22.9484	36.0464	7942.9382
pct80_depth10	80.0	10.0	nodJ	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct80_depth10	80.0	10.0	nodJ	No	952	952	1	9	9	0.0095	0.0000	0.0000	4.6598	40.9737	7945.5982
pct80_depth10	80.0	10.0	nodJ	Rh	989	989	1	7	7	0.0071	0.0000	0.0000	3.7187	0.9209	382.3054
pct80_depth10	80.0	10.0	nodJ	Ro	964	964	1	8	8	0.0083	0.0000	0.0000	4.2205	10.2824	5000.4651
pct80_depth10	80.0	10.0	nodL	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct80_depth10	80.0	10.0	nodL	No	952	952	1	109	109	0.1145	11.7754	1.4973	30.3077	320.1538	7925.5598
pct80_depth10	80.0	10.0	nodL	Rh	989	989	1	96	96	0.0971	13.2246	2.7518	29.6213	66.8156	7692.8678
pct80_depth10	80.0	10.0	nodL	Ro	964	964	1	79	79	0.0820	8.8768	0.5091	27.4855	49.8007	7920.2754
pct80_depth10	80.0	10.0	nodQ	MC	4	2	2	0	0	0.0000	15.5241	2.1623	17.4582	2.7557	6.4450
pct80_depth10	80.0	10.0	nodQ	No	1904	952	2	216	216	0.2269	14.9533	2.6622	26.1229	293.2252	7946.5783
pct80_depth10	80.0	10.0	nodQ	Rh	1978	989	2	220	220	0.2224	15.7581	1.6000	26.7494	235.9426	7857.3339
pct80_depth10	80.0	10.0	nodQ	Ro	1928	964	2	210	210	0.2178	12.9284	1.3517	25.5493	110.2263	7939.8531
pct80_depth10	80.0	10.0	nodS	MC	8	2	4	2	2	1.0000	0.0000	0.0000	25.0000	3.5341	17.3746
pct80_depth10	80.0	10.0	nodS	No	3808	952	4	218	215	0.2258	0.0000	0.0000	16.6410	180.3499	7947.1825
pct80_depth10	80.0	10.0	nodS	Rh	3956	989	4	94	89	0.0900	0.0000	0.0000	12.1632	19.0862	7609.5746
pct80_depth10	80.0	10.0	nodS	Ro	3856	964	4	99	95	0.0985	0.0000	0.0000	13.1117	16.6631	7827.9397
pct80_depth10	80.0	10.0	nodU	MC	10	2	5	2	2	1.0000	0.0000	0.0000	20.4926	4.1339	25.5901
pct80_depth10	80.0	10.0	nodU	No	4760	952	5	442	433	0.4548	2.2767	0.1747	16.7765	256.0547	7946.0784
pct80_depth10	80.0	10.0	nodU	Rh	4945	989	5	171	166	0.1678	1.6609	0.1236	13.1426	20.4342	7423.5105
pct80_depth10	80.0	10.0	nodU	Ro	4820	964	5	192	191	0.1981	1.2027	0.0467	13.6913	15.6468	7820.3766
pct80_depth10	80.0	10.0	nodX	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct80_depth10	80.0	10.0	nodX	No	952	952	1	53	53	0.0557	0.0000	0.0000	16.7313	89.4852	7939.5127
pct80_depth10	80.0	10.0	nodX	Rh	989	989	1	46	46	0.0465	0.0000	0.0000	13.8006	31.4215	7939.5127
pct80_depth10	80.0	10.0	nodX	Ro	964	964	1	42	42	0.0436	0.0000	0.0000	13.7399	34.4931	7830.2717
pct80_depth10	80.0	10.0	nodZ	MC	8	2	4	2	2	1.0000	0.0000	0.0000	27.4242	4.4967	22.9344
pct80_depth10	80.0	10.0	nodZ	No	3808	952	4	329	329	0.3456	0.0000	0.0000	18.9605	265.2979	7945.9820
pct80_depth10	80.0	10.0	nodZ	Rh	3956	989	4	117	117	0.1183	0.0000	0.0000	13.8554	23.2307	7548.2399
pct80_depth10	80.0	10.0	nodZ	Ro	3856	964	4	139	139	0.1442	0.0000	0.0000	14.5332	15.4608	7725.3621
pct70_depth10	70.0	10.0	nifA	MC	22	2	11	1	1	0.5000	10.6687	9.7674	20.5081	31.2070	250.7290
pct70_depth10	70.0	10.0	nifA	No	10472	952	11	564	420	0.4412	9.4183	2.9782	21.6708	229.4770	7946.8977
pct70_depth10	70.0	10.0	nifA	Rh	10879	989	11	354	274	0.2770	12.6897	6.5415	20.6222	54.3643	7921.0286
pct70_depth10	70.0	10.0	nifA	Ro	10604	964	11	321	272	0.2822	9.4379	1.6687	19.0031	31.0046	7920.2478
pct70_depth10	70.0	10.0	nifB	MC	26	2	13	4	2	1.0000	2.0506	0.2431	25.2592	4.4034	40.3172
pct70_depth10	70.0	10.0	nifB	No	12376	952	13	1917	896	0.9412	10.2908	1.4244	28.8778	371.6051	7946.4853
pct70_depth10	70.0	10.0	nifB	Rh	12857	989	13	1423	804	0.8129	9.6402	1.2240	26.0119	93.4768	7877.9566
pct70_depth10	70.0	10.0	nifB	Ro	12532	964	13	1279	759	0.7873	7.1556	0.4620	24.8138	55.1953	7939.6212
pct70_depth10	70.0	10.0	nifD	MC	26	2	13	5	2	1.0000	8.2729	0.4255	31.6939	7.3540	70.4223
pct70_depth10	70.0	10.0	nifD	No	12376	952	13	2857	938	0.9853	20.9699	3.7772	38.4140	533.9368	7950.2902
pct70_depth10	70.0	10.0	nifD	Rh	12857	989	13	2457	952	0.9626	14.8921	1.6387	34.0013	192.9998	7936.2467
pct70_depth10	70.0	10.0	nifD	Ro	12532	964	13	2202	915	0.9492	12.4572	0.7848	33.0945	104.3320	7947.2109
pct70_depth10	70.0	10.0	nifE	MC	26	2	13	4	2	1.0000	2.0402	0.1174	24.7088	4.3644	38.9292
pct70_depth10	70.0	10.0	nifE	No	12376	952	13	1874	902	0.9475	7.5857	1.2417	28.2291	370.9881	7946.3461
pct70_depth10	70.0	10.0	nifE	Rh	12857	989	13	1529	806	0.8150	7.1764	0.8437	25.5142	79.9809	7927.1878
pct70_depth10	70.0	10.0	nifE	Ro	12532	964	13	1307	769	0.7977	4.4493	0.3084	24.2450	51.6305	7944.8322
pct70_depth10	70.0	10.0	nifH	MC	28	2	14	5	2	1.0000	30.1607	0.9652	38.2940	8.2533	79.0961
pct70_depth10	70.0	10.0	nifH	No	13328	952	14	3851	942	0.9895	35.3171	4.9036	44.8389	616.0055	7948.4398
pct70_depth10	70.0	10.0	nifH	Rh	13846	989	14	3398	946	0.9565	26.8456	2.6280	40.5911	242.5922	7947.2222
pct70_depth10	70.0	10.0	nifH	Ro	13496	964	14	2960	909	0.9429	23.9479	1.3492	39.1246	123.6274	7942.1458
pct70_depth10	70.0	10.0	nifJ	MC	4	2	2	2	2	1.0000	55.0793	6.3165	52.1995	7.5375	17.5170
pct70_depth10	70.0	10.0	nifJ	No	1904	952	2	279	245	0.2574	18.7251	3.0508	35.4959	548.3120	7917.4802
pct70_depth10	70.0	10.0	nifJ	Rh	1978	989	2	255	249	0.2518	25.0427	13.2819	34.3174	62.8852	7493.3092
pct70_depth10	70.0	10.0	nifJ	Ro	1928	964	2	177	171	0.1774	16.4395	2.2477	29.7630	35.6312	7778.6029
pct70_depth10	70.0	10.0	nifK	MC	26	2	13	4	2	1.0000	2.4998	0.0749	27.0470	6.5259	62.1196
pct70_depth10	70.0	10.0	nifK	No	12376	952	13	2284	929	0.9758	13.6538	1.7135	33.9635	464.9934	7946.9660
pct70_depth10	70.0	10.0	nifK	Rh	12857	989	13	1989	897	0.9070	11.1111	1.2336	30.5681	119.4375	7944.3464
pct70_depth10	70.0	10.0	nifK	Ro	12532	964	13	1742	854	0.8859	8.7549	0.5178	29.6348	72.2271	7942.3132
pct70_depth10	70.0	10.0	nifN	MC	22	2	11	2	2	1.0000	2.2271	0.1225	16.2099	2.3830	19.4851
pct70_depth10	70.0	10.0	nifN	No	10472	952	11	882	611	0.6418	3.1092	0.3456	20.9493	232.7434	7947.1872
pct70_depth10	70.0	10.0	nifN	Rh	10879	989	11	562	399	0.4034	4.1215	0.4321	18.8757	36.3228	7838.2157
pct70_depth10	70.0	10.0	nifN	Ro	10604	964	11	512	370	0.3838	1.8800	0.1542	18.0262	30.7683	7944.1923
pct70_depth10	70.0	10.0	nifQ	MC	18	2	8	0	0	0.0000	0.0000	0.0000	13.1057	0.9855	8.2051
pct70_depth10	70.0	10.0	nifQ	No	8568	952	8	263	254	0.2668	2.7132	0.0796	13.0843	139.0151	7945.7021
pct70_depth10	70.0	10.0	nifQ	Rh	8901	989	8	138	133	0.1345	2.9321	0.1392	11.8380	25.4090	6085.1941
pct70_depth10	70.0	10.0	nifQ	Ro	8676	964	8	124	119	0.1234	0.0000	0.0000	10.4655	15.0819	5713.8056
pct70_depth10	70.0	10.0	nifS	MC	6	2	3	2	2	1.0000	9.9817	0.1085	36.6606	4.4503	14.4357
pct70_depth10	70.0	10.0	nifS	No	2856	952	3	419	414	0.4349	20.0513	1.9249	33.2247	398.3615	7946.5914
pct70_depth10	70.0	10.0	nifS	Rh	2967	989	3	198	196	0.1982	18.8544	2.0313	27.6016	47.0967	7376.6971
pct70_depth10	70.0	10.0	nifS	Ro	2892	964	3	175	175	0.1815	14.5983	0.7591	26.7651	30.1194	7739.1193
pct70_depth10	70.0	10.0	nifT	MC	18	2	9	2	2	1.0000	0.0000	0.0000	15.5258	1.6588	15.8044
pct70_depth10	70.0	10.0	nifT	No	8568	952	9	920	664	0.6975	0.0000	0.0000	21.5274	242.4968	7944.8222
pct70_depth10	70.0	10.0	nifT	Rh	8901	989	9	685	532	0.5379	0.0000	0.0000	19.8309	49.4219	7755.7067
pct70_depth10	70.0	10.0	nifT	Ro	8676	964	9	562	455	0.4720	0.0000	0.0000	18.5299	28.2649	7746.0563
pct70_depth10	70.0	10.0	nifU	MC	24	2	12	2	2	1.0000	3.6258	0.2169	25.0831	2.7942	28.5193
pct70_depth10	70.0	10.0	nifU	No	11424	952	12	2342	931	0.9779	21.6931	2.3268	36.4010	432.3769	7921.8175
pct70_depth10	70.0	10.0	nifU	Rh	11868	989	12	2827	938	0.9484	28.9242	6.8969	39.2261	286.5338	7875.5719
pct70_depth10	70.0	10.0	nifU	Ro	11568	964	12	2237	894	0.9274	20.3901	1.5057	35.0401	119.4209	7800.2028
pct70_depth10	70.0	10.0	nifV	MC	12	2	6	2	2	1.0000	1.6667	0.0838	20.8012	3.0814	20.9089
pct70_depth10	70.0	10.0	nifV	No	5712	952	6	291	268	0.2815	3.2562	0.4953	15.1936	199.4847	7945.7254
pct70_depth10	70.0	10.0	nifV	Rh	5934	989	6	159	153	0.1547	3.0702	0.4287	12.7533	13.6405	7555.9072
pct70_depth10	70.0	10.0	nifV	Ro	5784	964	6	146	136	0.1411	1.7456	0.0950	11.6104	21.4645	7878.9532
pct70_depth10	70.0	10.0	nifW	MC	22	2	10	2	2	1.0000	2.5133	0.1061	24.6366	3.2755	29.1035
pct70_depth10	70.0	10.0	nifW	No	10472	952	10	976	698	0.7332	0.0000	0.0000	20.9337	298.2430	7950.2807
pct70_depth10	70.0	10.0	nifW	Rh	10879	989	10	511	353	0.3569	0.0000	0.0000	17.4251	30.1217	7926.6086
pct70_depth10	70.0	10.0	nifW	Ro	10604	964	10	460	342	0.3548	0.0000	0.0000	17.1798	27.0099	7944.4596
pct70_depth10	70.0	10.0	nifX	MC	40	2	20	8	2	1.0000	3.8978	0.1477	29.1089	5.4899	59.1982
pct70_depth10	70.0	10.0	nifX	No	19040	952	20	2288	840	0.8824	5.0201	0.5055	27.7130	323.3023	7948.3655
pct70_depth10	70.0	10.0	nifX	Rh	19780	989	20	1529	666	0.6734	5.3030	0.5401	24.2609	53.4448	7936.2545
pct70_depth10	70.0	10.0	nifX	Ro	19280	964	20	1352	615	0.6380	4.1152	0.1545	23.1124	40.9724	7946.3750
pct70_depth10	70.0	10.0	nifZ	MC	22	2	11	1	1	0.5000	0.0000	0.0000	19.2111	1.6530	13.0857
pct70_depth10	70.0	10.0	nifZ	No	10472	952	11	981	727	0.7637	5.1213	0.1373	21.6411	284.4913	7946.6857
pct70_depth10	70.0	10.0	nifZ	Rh	10879	989	11	628	503	0.5086	5.5202	0.2385	18.9607	52.5008	6808.0392
pct70_depth10	70.0	10.0	nifZ	Ro	10604	964	11	574	485	0.5031	0.0000	0.0000	18.0180	33.6478	7416.8047
pct70_depth10	70.0	10.0	nodA	MC	22	2	11	1	1	0.5000	0.0000	0.0000	9.2363	1.4108	21.5798
pct70_depth10	70.0	10.0	nodA	No	10472	952	11	541	476	0.5000	0.0000	0.0000	14.2793	153.5324	7947.0481
pct70_depth10	70.0	10.0	nodA	Rh	10879	989	11	309	280	0.2831	0.0000	0.0000	11.2298	16.9078	7945.7377
pct70_depth10	70.0	10.0	nodA	Ro	10604	964	11	318	287	0.2977	0.0000	0.0000	11.1953	21.0986	7945.8385
pct70_depth10	70.0	10.0	nodB	MC	22	2	11	2	2	1.0000	0.0000	0.0000	12.9398	2.1598	32.1212
pct70_depth10	70.0	10.0	nodB	No	10472	952	11	670	503	0.5284	2.2300	0.0532	17.1725	182.9600	7946.9061
pct70_depth10	70.0	10.0	nodB	Rh	10879	989	11	411	315	0.3185	0.0000	0.0000	13.6362	23.1333	7935.8200
pct70_depth10	70.0	10.0	nodB	Ro	10604	964	11	420	328	0.3402	0.0000	0.0000	13.8844	31.8346	7944.4006
pct70_depth10	70.0	10.0	nodC	MC	22	2	11	2	2	1.0000	1.5361	0.0997	13.5172	1.8853	23.5487
pct70_depth10	70.0	10.0	nodC	No	10472	952	11	675	538	0.5651	6.0195	0.3231	19.0771	213.0170	7946.8258
pct70_depth10	70.0	10.0	nodC	Rh	10879	989	11	360	322	0.3256	1.7113	0.0955	14.0445	25.8919	7912.6323
pct70_depth10	70.0	10.0	nodC	Ro	10604	964	11	389	339	0.3517	1.4902	0.0563	14.4857	27.3278	7944.2584
pct70_depth10	70.0	10.0	nodD	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct70_depth10	70.0	10.0	nodD	No	952	952	1	12	12	0.0126	0.0000	0.0000	4.4486	41.6721	7945.7706
pct70_depth10	70.0	10.0	nodD	Rh	989	989	1	11	11	0.0111	0.0000	0.0000	3.8109	0.7955	415.0600
pct70_depth10	70.0	10.0	nodD	Ro	964	964	1	16	16	0.0166	0.0000	0.0000	4.3861	14.7119	6491.2529
pct70_depth10	70.0	10.0	nodH	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct70_depth10	70.0	10.0	nodH	No	952	952	1	12	12	0.0126	0.0000	0.0000	4.3568	41.5805	7945.9076
pct70_depth10	70.0	10.0	nodH	Rh	989	989	1	8	8	0.0081	0.0000	0.0000	3.9878	0.7752	440.7122
pct70_depth10	70.0	10.0	nodH	Ro	964	964	1	13	13	0.0135	0.0000	0.0000	4.3577	13.8304	6953.6801
pct70_depth10	70.0	10.0	nodI	MC	18	2	9	2	2	1.0000	0.0000	0.0000	16.9917	2.9676	28.5179
pct70_depth10	70.0	10.0	nodI	No	8568	952	9	1046	651	0.6838	10.0419	1.3187	27.8956	343.3569	7946.7264
pct70_depth10	70.0	10.0	nodI	Rh	8901	989	9	656	481	0.4863	10.2719	1.7872	24.2301	55.6938	7848.4654
pct70_depth10	70.0	10.0	nodI	Ro	8676	964	9	530	409	0.4243	6.8027	0.5335	22.9484	36.0464	7942.9382
pct70_depth10	70.0	10.0	nodJ	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct70_depth10	70.0	10.0	nodJ	No	952	952	1	9	9	0.0095	0.0000	0.0000	4.6598	40.9737	7945.5982
pct70_depth10	70.0	10.0	nodJ	Rh	989	989	1	7	7	0.0071	0.0000	0.0000	3.7187	0.9209	382.3054
pct70_depth10	70.0	10.0	nodJ	Ro	964	964	1	8	8	0.0083	0.0000	0.0000	4.2205	10.2824	5000.4651
pct70_depth10	70.0	10.0	nodL	MC	2	2	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
pct70_depth10	70.0	10.0	nodL	No	952	952	1	117	117	0.1229	11.7754	1.4973	30.3077	320.1538	7925.5598
pct70_depth10	70.0	10.0	nodL	Rh	989	989	1	102	102	0.1031	13.2246	2.7518	29.6213	66.8156	7692.8678
