sample_id	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	reference_coverage_percent	evalue	bitscore	closest_genus	blast_confidence	in_blast_table	tip_label_closest_taxon
DEJU-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Microvirga_sp._RSM25|XKE00370.1	Microvirga_sp._RSM25	83.738	824	82.6479	92.17	0	1010	Microvirga	low_or_uncertain	yes	DEJU-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Microvirga_sp._RSM25 | 83.7% id | 82.6% qcov
OAES-21-3-Rh|nifH|consensus50|pass_single_dominant	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	89.85	798	80.0401	89.2617	0	1093	Mesorhizobium	moderate_identity85_qcov70	yes	OAES-21-3-Rh|nifH|consensus50|pass_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 89.8% id | 80.0% qcov
DSNY-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	83.78	820	82.2467	91.7226	0	1057	Mesorhizobium	low_or_uncertain	yes	DSNY-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Mesorhizobium_sp._AaZ16 | 83.8% id | 82.2% qcov
YELL-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Microvirga_sp._RSM25|XKE00370.1	Microvirga_sp._RSM25	85.68	824	82.6479	92.17	0	1077	Microvirga	moderate_identity85_qcov70	yes	YELL-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Microvirga_sp._RSM25 | 85.7% id | 82.6% qcov
OAES-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Microvirga_lotononidis|WQO30062.1	Microvirga_lotononidis	85.8	831	83.3501	92.953	0	1115	Microvirga	moderate_identity85_qcov70	yes	OAES-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Microvirga_lotononidis | 85.8% id | 83.4% qcov
DSNY-15-1-Rh|nifH|consensus50|pass_single_dominant	nifH|Microvirga_sp._KLBC_81|PVE21514.1	Microvirga_sp._KLBC_81	89.416	822	82.4473	91.9463	0	1122	Microvirga	moderate_identity85_qcov70	yes	DSNY-15-1-Rh|nifH|consensus50|pass_single_dominant | closest: Microvirga_sp._KLBC_81 | 89.4% id | 82.4% qcov
OAES-25-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.286	818	82.0461	91.4989	0	1103	Sinorhizobium	moderate_identity85_qcov70	yes	OAES-25-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.3% id | 82.0% qcov
CPER-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.238	819	82.1464	91.6107	0	1322	Sinorhizobium	high_identity90_qcov80	yes	CPER-2-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.2% id | 82.1% qcov
NOGP-6-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	92.43	819	82.1464	91.6107	0	1245	Sinorhizobium	high_identity90_qcov80	yes	NOGP-6-3-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 92.4% id | 82.1% qcov
DCFS-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.36	819	82.1464	91.6107	0	1326	Sinorhizobium	high_identity90_qcov80	yes	DCFS-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.4% id | 82.1% qcov
NOGP-2-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.604	819	82.1464	91.6107	0	1324	Sinorhizobium	high_identity90_qcov80	yes	NOGP-2-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.6% id | 82.1% qcov
OSBS-36-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.078	822	82.4473	91.9463	0	1151	Sinorhizobium	moderate_identity85_qcov70	yes	OSBS-36-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 88.1% id | 82.4% qcov
OAES-36-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.119	822	82.4473	91.9463	0	1192	Sinorhizobium	high_identity90_qcov80	yes	OAES-36-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 91.1% id | 82.4% qcov
OAES-36-3-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.238	819	82.1464	91.6107	0	1313	Sinorhizobium	high_identity90_qcov80	yes	OAES-36-3-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.2% id | 82.1% qcov
NOGP-3-2-Ro|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.337	819	82.1464	91.6107	0	1342	Sinorhizobium	high_identity90_qcov80	yes	NOGP-3-2-Ro|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.3% id | 82.1% qcov
WOOD-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	92.796	819	82.1464	91.6107	0	1269	Sinorhizobium	high_identity90_qcov80	yes	WOOD-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 92.8% id | 82.1% qcov
OAES-36-2-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.093	819	82.1464	91.6107	0	1335	Sinorhizobium	high_identity90_qcov80	yes	OAES-36-2-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.1% id | 82.1% qcov
DCFS-2-2-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.936	816	81.8455	91.2752	0	1378	Sinorhizobium	high_identity90_qcov80	yes	DCFS-2-2-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.9% id | 81.8% qcov
NOGP-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.446	816	81.8455	91.2752	0	1365	Sinorhizobium	high_identity90_qcov80	yes	NOGP-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.4% id | 81.8% qcov
WOOD-7-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.947	819	82.1464	91.6107	0	1367	Sinorhizobium	high_identity90_qcov80	yes	WOOD-7-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.9% id | 82.1% qcov
WOOD-12-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.093	819	82.1464	91.6107	0	1337	Sinorhizobium	high_identity90_qcov80	yes	WOOD-12-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.1% id | 82.1% qcov
NOGP-3-2-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.337	819	82.1464	91.6107	0	1359	Sinorhizobium	high_identity90_qcov80	yes	NOGP-3-2-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.3% id | 82.1% qcov
DCFS-3-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.697	819	82.1464	91.6107	0	1237	Sinorhizobium	high_identity90_qcov80	yes	DCFS-3-2-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 91.7% id | 82.1% qcov
CPER-3-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.985	822	82.4473	91.9463	0	1349	Sinorhizobium	high_identity90_qcov80	yes	CPER-3-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.0% id | 82.4% qcov
CPER-4-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.472	822	82.4473	91.9463	0	1356	Sinorhizobium	high_identity90_qcov80	yes	CPER-4-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.5% id | 82.4% qcov
NOGP-6-3-Ro|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.956	816	81.8455	91.2752	0	1345	Sinorhizobium	high_identity90_qcov80	yes	NOGP-6-3-Ro|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.0% id | 81.8% qcov
NOGP-1-1-No|nifH|consensus50|pass_single_dominant	nifH|Ensifer_canadensis|UBI79453.1	Ensifer_canadensis	96.814	816	81.8455	91.2752	0	1368	Ensifer	high_identity90_qcov80	yes	NOGP-1-1-No|nifH|consensus50|pass_single_dominant | closest: Ensifer_canadensis | 96.8% id | 81.8% qcov
WOOD-3-2-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.679	813	81.5446	90.9396	0	1354	Sinorhizobium	high_identity90_qcov80	yes	WOOD-3-2-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.7% id | 81.5% qcov
CPER-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.72	819	82.1464	91.6107	0	1240	Sinorhizobium	high_identity90_qcov80	yes	CPER-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 90.7% id | 82.1% qcov
CPER-4-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	93.309	822	82.4473	91.9463	0	1304	Sinorhizobium	high_identity90_qcov80	yes	CPER-4-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 93.3% id | 82.4% qcov
OAES-14-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	98.148	810	81.2437	90.604	0	1401	Sinorhizobium	high_identity90_qcov80	yes	OAES-14-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 98.1% id | 81.2% qcov
OAES-2-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.814	816	81.8455	91.2752	0	1376	Sinorhizobium	high_identity90_qcov80	yes	OAES-2-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.8% id | 81.8% qcov
OAES-22-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	97.171	813	81.5446	90.9396	0	1383	Sinorhizobium	high_identity90_qcov80	yes	OAES-22-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 97.2% id | 81.5% qcov
CPER-5-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.594	822	82.4473	91.9463	0	1373	Sinorhizobium	high_identity90_qcov80	yes	CPER-5-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.6% id | 82.4% qcov
CPER-5-1-Rh|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.472	822	82.4473	91.9463	0	1367	Sinorhizobium	high_identity90_qcov80	yes	CPER-5-1-Rh|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.5% id | 82.4% qcov
OAES-14-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.489	798	80.0401	89.2617	0	1312	Sinorhizobium	high_identity90_qcov80	yes	OAES-14-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.5% id | 80.0% qcov
DCFS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.971	819	82.1464	91.6107	0	1356	Sinorhizobium	high_identity90_qcov80	yes	DCFS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.0% id | 82.1% qcov
DCFS-8-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.459	819	82.1464	91.6107	0	1365	Sinorhizobium	high_identity90_qcov80	yes	DCFS-8-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.5% id | 82.1% qcov
NOGP-4-1-Ro|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.377	822	82.4473	91.9463	0	1346	Sinorhizobium	high_identity90_qcov80	yes	NOGP-4-1-Ro|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.4% id | 82.4% qcov
NOGP-5-2-Ro|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	97.08	822	82.4473	91.9463	0	1384	Sinorhizobium	high_identity90_qcov80	yes	NOGP-5-2-Ro|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 97.1% id | 82.4% qcov
WOOD-6-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.825	819	82.1464	91.6107	0	1375	Sinorhizobium	high_identity90_qcov80	yes	WOOD-6-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.8% id | 82.1% qcov
NOGP-2-1-Ro|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.971	819	82.1464	91.6107	0	1347	Sinorhizobium	high_identity90_qcov80	yes	NOGP-2-1-Ro|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.0% id | 82.1% qcov
CPER-3-1-Rh|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.324	816	81.8455	91.2752	0	1348	Sinorhizobium	high_identity90_qcov80	yes	CPER-3-1-Rh|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.3% id | 81.8% qcov
OAES_19-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.604	819	82.1464	91.6107	0	1344	Sinorhizobium	high_identity90_qcov80	yes	OAES_19-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.6% id | 82.1% qcov
OAES-2-1-Ro|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	96.944	818	82.0461	91.4989	0	1365	Sinorhizobium	high_identity90_qcov80	yes	OAES-2-1-Ro|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 96.9% id | 82.0% qcov
WOOD-11-1-No|nifH|consensus50|pass_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	95.466	816	81.8455	91.2752	0	1324	Sinorhizobium	high_identity90_qcov80	yes	WOOD-11-1-No|nifH|consensus50|pass_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 95.5% id | 81.8% qcov
CPER-4-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	93.734	798	80.0401	89.2617	0	1267	Sinorhizobium	high_identity90_qcov80	yes	CPER-4-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 93.7% id | 80.0% qcov
OAES-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	92.674	819	82.1464	91.6107	0	1270	Sinorhizobium	high_identity90_qcov80	yes	OAES-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 92.7% id | 82.1% qcov
CPER-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	92.77	816	81.8455	91.2752	0	1275	Sinorhizobium	high_identity90_qcov80	yes	CPER-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 92.8% id | 81.8% qcov
CPER-5-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.754	822	82.4473	91.9463	0	1223	Sinorhizobium	high_identity90_qcov80	yes	CPER-5-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 90.8% id | 82.4% qcov
KONZ-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.355	788	79.0371	88.1432	0	1151	Sinorhizobium	moderate_identity85_qcov70	yes	KONZ-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 90.4% id | 79.0% qcov
WOOD-8-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XHY72514.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.951	816	81.8455	91.2752	0	1186	Sinorhizobium	moderate_identity85_qcov70	yes	WOOD-8-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 90.0% id | 81.8% qcov
OSBS-36-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Microvirga_sp._RSM25|XKE00370.1	Microvirga_sp._RSM25	81.63	822	82.4473	91.9463	0	1013	Microvirga	low_or_uncertain	yes	OSBS-36-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Microvirga_sp._RSM25 | 81.6% id | 82.4% qcov
