DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST reference coverage
JERC-147-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	88.2550
JERC-132-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
OSBS-8-5-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
JERC-198-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
SERC-3-1-Ro|nifH|consensus50|pass_single_dominant	89.2617
DCFS-2-2-Ro|nifH|consensus50|pass_single_dominant	91.4989
HEAL-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
TOOL-1-Rh|nifH|consensus50|pass_single_dominant	91.2752
JERC-150-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CPER-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
TOOL-25-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DSNY-5-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
OSBS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
JERC-RHTO-58-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	93.2886
NOGP-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.9262
WOOD-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
DEJU-59-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
JERC-102-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
JERC-197-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.8210
WOOD-11-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
BONA-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
HEAL-1-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
HEAL-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	89.5973
HEAL-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
HEAL-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
HEAL-9-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
HARV-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
DSNY-29-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
TALL-60-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
TALL-72-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
TALL-72-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	94.7846
DSNY-18-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
LENO-15-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
SCBI-13-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
SCBI-8-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
WOOD-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
LENO-16-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
MLBS-1-1-No|nifH|consensus50|pass_single_dominant	91.2752
DSNY-8-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	90.0447
SCBI-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	88.5906
DSNY-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DSNY-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OSBS-4-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
TALL-8-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
TALL-9-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
OSBS-2-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OSBS-2-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
TALL-90-1-No|nifH|consensus50|pass_single_dominant	99.2105
OSBS-5-5-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
TOOL-5-Ro|nifH|consensus50|pass_single_dominant	91.9463
CLBJ-12-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
JERC-89-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
JERC-10-3-No|nifH|consensus50|pass_single_dominant	88.3669
JERC-11-1-Rh|nifH|consensus50|pass_single_dominant	91.6107
JERC-12-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
JERC-6-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
JERC-8-2-No|nifH|consensus50|pass_single_dominant	90.1566
KONZ-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
JERC-53-5-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.5825
JERC-89-1-Ro|nifH|consensus50|pass_single_dominant	88.5906
JERC-90-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
RMNP-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
JERC-142-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
JERC-98-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
ORNL-23-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
ORNL-17-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.8412
NIWO-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.8412
TOOL-22-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.7025
DEJU-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
BONA-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.9262
CLBJ-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	89.3736
JERC-4-1-No|nifH|consensus50|pass_single_dominant	91.9463
JERC-13-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-2-1-No|nifH|consensus50|pass_single_dominant	91.8345
JERC-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
JERC-5-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	89.3736
CLBJ-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	89.3736
JERC-6-3-No|nifH|consensus50|pass_single_dominant	91.2752
JERC-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
CLBJ-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.9262
JERC-3-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	88.9262
CLBJ-8-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.9396
DSNY-75-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
JERC-1-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
CLBJ-11-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	90.9396
OAES-1-1-No|nifH|consensus50|pass_single_dominant	99.5862
OAES-4-1-Ro|nifH|consensus50|pass_single_dominant	99.5862
OAES-7-1-No|nifH|consensus50|pass_single_dominant	99.5862
OAES-7-1-Rh|nifH|consensus50|pass_single_dominant	99.5862
OAES-7-1-Ro|nifH|consensus50|pass_single_dominant	99.5862
OAES-4-1-No|nifH|consensus50|pass_single_dominant	99.5862
OAES-16-1-No|nifH|consensus50|pass_single_dominant	99.5862
OAES-25-1-No|nifH|consensus50|pass_single_dominant	99.5862
OAES-16-1-Rh|nifH|consensus50|pass_single_dominant	99.5862
OAES-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	90.8277
OAES-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.1566
OAES-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	90.6040
JERC-11-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.4989
OAES-3-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	90.4922
CLBJ-26-1-No|nifH|consensus50|pass_single_dominant	91.6107
CLBJ-27-1-No|nifH|consensus50|pass_single_dominant	91.6107
GUAN-5-No|nifH|consensus50|pass_single_dominant	91.6107
GUAN-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
OAES-6-1-Ro|nifH|consensus50|pass_single_dominant	89.2617
LAJA-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CLBJ-4-1-No|nifH|consensus50|pass_single_dominant	92.0582
CLBJ-4-1-Ro|nifH|consensus50|pass_single_dominant	89.2617
CLBJ-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.4855
CLBJ-50-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	88.5906
OAES-5-Rh|nifH|consensus50|pass_single_dominant	100.0000
LAJA-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	93.2886
LAJA-6-1-Rh|nifH|consensus50|pass_single_dominant	93.2886
TALL-78-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.4855
LAJA-22-2-No|nifH|consensus50|pass_single_dominant	92.5056
DSNY-17-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.4989
DEJU-7-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
GUAN-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
HEAL-10-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
ORNL-11-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
HARV-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
KONZ-12-1-No|nifH|consensus50|pass_single_dominant	93.0649
KONZ-6-1-No|nifH|consensus50|pass_single_dominant	91.6107
WOOD-5-1-Ro|nifH|consensus50|pass_single_dominant	92.7293
UKFS-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-26-5-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
KONZ-8-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
OSBS-35-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
LAJA-20-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
WOOD-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
OAES-31-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
OSBS-5-5-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
CLBJ-18-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-13-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OAES-29-1-Ro|nifH|consensus50|pass_single_dominant	90.2685
CLBJ-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.3937
OAES-17-Ro|nifH|consensus50|pass_single_dominant	89.1499
CLBJ-13-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
JERC-20-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CLBJ-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.2819
DELA-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
DEJU-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-122-Rh|nifH|consensus50|pass_single_dominant	91.6107
JERC-121-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DELA-12-2-Rh|nifH|consensus50|pass_single_dominant	92.5056
DELA-20-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
ORNL-18-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
DELA-14-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DELA-20-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
DSNY-76-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	93.0649
OAES-23-1-Ro|nifH|consensus50|pass_single_dominant	91.8345
OAES-26-1-No|nifH|consensus50|pass_single_dominant	92.1700
OAES-26-1-Ro|nifH|consensus50|pass_single_dominant	88.4787
OAES-10-1-No|nifH|consensus50|pass_single_dominant	91.6107
OAES-10-1-Ro|nifH|consensus50|pass_single_dominant	91.4989
CLBJ-5-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CLBJ-5-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.4989
CLBJ-5-2-No|nifH|consensus50|pass_single_dominant	91.8345
OAES-11-1-No|nifH|consensus50|pass_single_dominant	92.1700
DELA-18-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
DELA-15-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
DSNY-74-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
OAES-23-1-No|nifH|consensus50|pass_single_dominant	92.1700
OAES-26-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.7092
SRER-16-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
OAES-32-1-No|nifH|consensus50|pass_single_dominant	92.5056
OAES-33-1-No|nifH|consensus50|pass_single_dominant	89.2617
DELA-14-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
OAES-9-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.2685
JERC-12-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.8345
OAES-16-1-Ro|nifH|consensus50|pass_single_dominant	90.9396
OAES-17-No|nifH|consensus50|pass_single_dominant	91.2752
SRER-16-1-No|nifH|consensus50|pass_single_dominant	91.6107
JORN-1-No|nifH|consensus50|pass_single_dominant	91.6107
SRER-4-1-No|nifH|consensus50|pass_single_dominant	88.9262
JERC-13-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-8-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
OAES-34-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
OAES-34-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.5906
OAES-12-2-No|nifH|consensus50|pass_single_dominant	92.5056
OSBS-12-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
OSBS-5-5-Ro|nifH|consensus50|pass_single_dominant	92.6174
OAES-28-1-No|nifH|consensus50|pass_single_dominant	92.5056
OAES-12-2-Ro|nifH|consensus50|pass_single_dominant	92.1700
OAES-29-1-No|nifH|consensus50|pass_single_dominant	88.5906
OAES-34-1-No|nifH|consensus50|pass_single_dominant	92.6174
OAES-9-1-Rh|nifH|consensus50|pass_single_dominant	91.2752
OAES-12-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.8210
SRER-11-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OSBS-1-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	90.2685
CPER-1-No|nifH|consensus50|pass_single_dominant	91.6107
DELA-15-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DELA-24-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JORN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OAES-15-No|nifH|consensus50|pass_single_dominant	91.6107
OAES-15-Ro|nifH|consensus50|pass_single_dominant	92.9530
CLBJ-23-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
DSNY-74-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
DELA-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.4855
DSNY-75-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
OAES-28-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	90.4922
OAES-25-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
OAES-27-2-No|nifH|consensus50|pass_single_dominant	91.6107
OAES-27-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
DELA-13-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
DELA-18-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
OAES-23-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.5973
CLBJ-14-1-No|nifH|consensus50|pass_single_dominant	92.8412
CLBJ-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
TALL-25-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
TALL-24-2-No|nifH|consensus50|pass_single_dominant	91.6107
DELA-9-1-No|nifH|consensus50|pass_single_dominant	92.5056
TALL-15-2-No|nifH|consensus50|pass_single_dominant	92.9530
TALL-52-1-No|nifH|consensus50|pass_single_dominant	92.1700
TALL-52-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
DELA-26-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
DELA-26-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	93.2886
DELA-26-3-Ro|nifH|consensus50|pass_single_dominant	92.5056
DELA-27-3-No|nifH|consensus50|pass_single_dominant	92.8412
LAJA-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
CLBJ-17-1-Rh|nifH|consensus50|pass_single_dominant	88.5906
UNDE-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	90.2685
LENO-7-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
LENO-10-2-Ro|nifH|consensus50|pass_single_dominant	91.6107
DEJU-52-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.6174
DELA-25-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.8345
DELA-32-1-No|nifH|consensus50|pass_single_dominant	92.5056
LENO-9-2-Rh|nifH|consensus50|pass_single_dominant	92.6174
DSNY-2-1-Rh|nifH|consensus50|pass_single_dominant	92.6174
LENO-7-2-No|nifH|consensus50|pass_single_dominant	91.9463
LENO-12-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
LENO-5-2-No|nifH|consensus50|pass_single_dominant	92.5056
LENO-9-2-No|nifH|consensus50|pass_single_dominant	92.5056
JERC-34-4-No|nifH|consensus50|pass_single_dominant	91.2752
KONZ-11-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-AMFR-56-1-No|nifH|consensus50|pass_single_dominant	93.2886
OAES-35-3-No|nifH|consensus50|pass_single_dominant	91.6107
OAES-35-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.8345
OSBS-35-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
JERC-AMFU-71-1-No|nifH|consensus50|pass_single_dominant	91.9463
JERC-AMFU-71-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DSNY-6-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OSBS-34-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
JERC-1-2-No|nifH|consensus50|pass_single_dominant	92.9530
OSBS-38-1-No|nifH|consensus50|pass_single_dominant	92.9530
JERC-131-No|nifH|consensus50|pass_single_dominant	91.6107
JERC-5-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.8277
CLBJ-18-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OAES-20-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.9396
DSNY-15-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
JERC-16-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
JERC-14-5-Ro|nifH|consensus50|pass_single_dominant	89.8210
JORN-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
SRER-12-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
SRER-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OSBS-2-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
JERC-16-2-Ro|nifH|consensus50|pass_single_dominant	92.1700
JERC-18-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.4855
SRER-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
JORN-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.5056
OAES-21-3-No|nifH|consensus50|pass_single_dominant	91.9463
RMNP-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
SRER-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
SRER-17-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.4989
SRER-15-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OAES-17-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	90.9396
SRER-3-1-No|nifH|consensus50|pass_single_dominant	91.6107
SRER-6-1-No|nifH|consensus50|pass_single_dominant	92.5056
SRER-7-1-No|nifH|consensus50|pass_single_dominant	91.4989
SRER-8-1-Ro|nifH|consensus50|pass_single_dominant	90.4922
SRER-5-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.8277
SRER-7-1-Rh|nifH|consensus50|pass_single_dominant	91.6107
